Home Team:,DCS,41
Away Team:,NWK,20
 
Stadium:,Wiry Bets Stadium,Washington DC
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NWK,Max Protect,Cover 3,False,1,10,25,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
3,NWK,Option,Cover 3,False,1,20,15,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NWK,Scissors,Cover 3,False,2,12,23,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
5,NWK,Max Protect,Cover 0 Bullets,False,2,17,18,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NWK,Scissors,Cover 3,False,3,14,21,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,False
7,NWK,Punt,,False,4,14,21,0,False,0,0,65,55,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DCS,Play Action,Cover 1 Mike Dog,False,1,10,69,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DCS,Draw,Cover 3,False,2,10,69,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DCS,Draw,Cover 2,False,3,10,69,0,False,31,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
11,DCS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
12,DCS,Kickoff,,True,0,0,0,0,False,0,50,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
13,NWK,Screen Pass,Hulk,False,1,10,40,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NWK,Draw,Cover 1 Mike Dog,False,1,10,56,0,False,18,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,NWK,Screen Pass,Cover 3,False,1,10,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NWK,Option,Hulk,False,2,10,74,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,NWK,Option,Hulk,False,3,10,74,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,NWK,Field Goal,,False,4,10,74,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,NWK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DCS,Screen Pass,Cover 3,False,1,10,25,35,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
