Home Team:,DD,27
Away Team:,BA,30
 
Stadium:,The Outback Steakhouse Outback,Dallas-Forth Worth TX
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BA,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DD,Scissors,Cover 3,False,1,10,25,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DD,Flood,Cover 2,False,1,10,41,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DD,Slants,Cover 0 Bullets,False,1,10,53,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DD,Draw,Cover 0 Bullets,False,2,5,58,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DD,Scissors,Cover 1 Mike Dog,False,3,3,60,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DD,Draw,Cover 2,False,1,10,67,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DD,Draw,Cover 3,False,1,10,82,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DD,Flood,Cover 3,False,2,10,82,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DD,Flood,Cover 0 Bullets,False,3,3,89,11,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
11,DD,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
12,DD,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
13,BA,Draw,Cover 0 Bullets,False,1,10,25,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BA,Power,Cover 1 Mike Dog,False,2,6,29,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BA,Draw,Cover 2,False,1,10,41,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,BA,Play Action,Cover 0 Bullets,False,1,10,55,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,True
17,BA,Streaks,Cover 2,False,1,10,70,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
