Home Team:,CND,7,2-1
Away Team:,FAN,10,3-0
 
Stadium:,Depression Arena,Cleveland OH
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,CND,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FAN,Play Action,Cover 0 Bullets,False,1,10,25,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,FAN,Option,Cover 0 Bullets,False,1,10,46,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,FAN,Power,Cover 0 Bullets,False,2,10,46,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
5,FAN,Play Action,Cover 0 Bullets,False,2,20,36,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FAN,Play Action,Cover 0 Bullets,False,3,7,49,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,FAN,Punt,,False,4,7,49,0,False,0,0,45,13,False,False,False,False,False,False,False,False,False,,False,,0,False
8,CND,Sweep,Cover 2,False,1,10,19,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,CND,Sweep,Cover 1 Mike Dog,False,1,10,31,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,CND,Sweep,Cover 3,False,2,2,39,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
11,CND,Scissors,Cover 0 Bullets,False,2,12,29,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,CND,Draw,Cover 3,False,3,12,29,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,CND,Punt,,False,4,7,34,0,False,0,0,55,9,False,False,False,False,False,False,False,False,False,,False,,0,False
14,FAN,Play Action,Cover 3,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Unnecessary Roughness,15,True
15,FAN,Play Action,Cover 0 Bullets,False,1,10,10,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,FAN,Option,Cover 0 Bullets,False,1,10,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,FAN,Draw,Cover 0 Bullets,False,2,10,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,FAN,Option,Cover 0 Bullets,False,3,10,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,FAN,Punt,,False,4,10,22,0,False,0,0,45,10,False,False,False,False,False,False,False,False,False,,False,,0,False
20,CND,Sweep,Cover 0 Bullets,False,1,10,43,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,CND,Power,Cover 0 Bullets,False,2,10,43,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,CND,Draw,Hulk,False,3,10,43,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,CND,Punt,,False,4,9,44,0,False,0,0,56,20,False,False,False,False,False,False,False,False,False,,False,,0,False
24,FAN,Flood,Cover 1 Mike Dog,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,FAN,Option,Cover 0 Bullets,False,2,10,20,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,FAN,Play Action,Cover 0 Bullets,False,3,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,FAN,Punt,,False,4,10,20,0,False,0,0,45,7,False,False,False,False,False,False,False,False,False,,False,,0,False
28,CND,Play Action,Cover 3,False,1,10,42,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,CND,Play Action,Cover 1 Mike Dog,False,1,10,55,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
30,CND,Sweep,Hulk,False,1,20,45,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,CND,Play Action,Cover 0 Bullets,False,2,7,58,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,CND,Option,Cover 3,False,3,7,58,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,CND,Sweep,Cover 0 Bullets,False,1,10,72,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
34,CND,Sweep,Cover 0 Bullets,False,2,10,72,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,CND,Power,Cover 0 Bullets,False,3,10,72,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
