Home Team:,ATL,27,0-3
Away Team:,MCS,31,1-2
 
Stadium:,Rolls-Royce Stadium,Atlanta GA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,ATL,Draw,Cover 1 Mike Dog,False,1,10,25,0,False,61,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,ATL,Play Action,Cover 2,False,1,10,86,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,ATL,Slants,Cover 3,False,1,10,97,3,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
5,ATL,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
6,ATL,Kickoff,,True,0,0,0,0,False,0,60,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MCS,Option,Cover 0 Bullets,False,1,10,21,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MCS,Draw,Cover 3,False,1,10,33,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MCS,Sweep,Cover 2,False,2,5,38,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MCS,Power,Cover 2,False,1,10,47,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,MCS,Flood,Cover 2,False,2,10,47,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MCS,Blast,Cover 0 Bullets,False,3,10,47,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MCS,Punt,,False,4,10,47,0,False,0,0,45,16,False,False,False,False,False,False,False,False,False,,False,,0,False
14,ATL,Flood,Cover 0 Bullets,False,1,10,24,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
15,ATL,Play Action,Cover 2,False,1,15,19,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ATL,Power,Cover 3,False,1,10,38,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ATL,Play Action,Cover 0 Bullets,False,2,10,38,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
