Home Team:,DED,23,2-1
Away Team:,MIN,0,1-2
 
Stadium:,Bob Marley Memorial Stadium,Denver CO
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DED,Play Action,Cover 2,False,1,10,25,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DED,Draw,Cover 2,False,1,10,40,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DED,Draw,Cover 4,False,1,10,52,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DED,Sweep,Cover 3,False,2,4,58,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DED,Sweep,Cover 1 Mike Dog,False,1,10,71,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DED,Draw,Cover 0 Bullets,False,2,1,80,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DED,Draw,Cover 3,False,3,1,80,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DED,Power,Cover 3,False,1,10,84,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DED,Play Action,Cover 4,False,2,10,84,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DED,Draw,Cover 2,False,1,10,98,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DED,Scissors,Cover 0 Bullets,False,2,10,98,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DED,Power,Cover 3,False,3,10,98,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,DED,Field Goal,,False,4,10,98,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
15,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
16,MIN,Play Action,Cover 2,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
17,MIN,Play Action,Cover 4,False,1,10,30,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MIN,Play Action,Cover 2,False,2,2,38,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MIN,Play Action,Cover 4,False,3,2,38,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,MIN,Punt,,False,4,2,38,0,False,0,0,62,20,False,False,False,False,False,False,False,False,False,,False,,0,False
21,DED,Power,Cover 3,False,1,10,20,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DED,Scissors,Cover 2,False,1,10,31,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DED,Power,Cover 1 Mike Dog,False,2,3,38,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DED,Draw,Cover 0 Bullets,False,3,3,38,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DED,Draw,Cover 2,False,1,10,42,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,DED,Draw,Cover 0 Bullets,False,1,10,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,DED,Play Action,Cover 1 Mike Dog,False,2,10,61,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,DED,Streaks,Cover 1 Mike Dog,False,3,10,61,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DED,Field Goal,,False,4,10,61,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
30,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
31,MIN,Power,Cover 0 Bullets,False,1,10,25,0,False,-1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,MIN,Play Action,Cover 2,False,2,11,24,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MIN,Play Action,Cover 3,False,3,11,24,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MIN,Punt,,False,4,11,24,0,False,0,0,60,39,False,False,False,False,False,False,False,False,False,,False,,0,False
35,DED,Draw,Cover 1 Mike Dog,False,1,10,55,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
 
Second Quarter:
1,DED,Draw,Cover 4,False,1,15,50,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DED,Scissors,Cover 1 Mike Dog,False,2,6,59,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DED,Scissors,Cover 1 Mike Dog,False,3,6,59,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DED,Punt,,False,4,6,59,0,False,0,0,41,20,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MIN,Play Action,Cover 0 Bullets,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MIN,Play Action,Cover 2,False,2,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MIN,Play Action,Cover 2,False,3,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MIN,Punt,,False,4,10,20,0,False,0,0,65,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DED,Power,Cover 1 Mike Dog,False,1,10,35,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DED,Draw,Cover 4,False,2,10,35,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DED,Power,Cover 1 Mike Dog,False,1,10,46,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
12,DED,Draw,Cover 0 Bullets,False,1,20,36,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DED,Scissors,Cover 1 Mike Dog,False,2,18,38,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,DED,Draw,Cover 2,False,3,18,38,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,DED,Punt,,False,4,3,53,0,False,0,0,47,20,False,False,False,False,False,False,False,False,False,,False,,0,False
16,MIN,Play Action,Cover 1 Mike Dog,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,MIN,Play Action,Cover 0 Bullets,False,2,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MIN,Play Action,Cover 1 Mike Dog,False,3,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MIN,Punt,,False,4,10,20,0,False,0,0,65,41,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DED,Power,Cover 3,False,1,10,56,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,DED,Play Action,Cover 1 Mike Dog,False,2,2,64,-10,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,False,,0,False
22,MIN,Play Action,Cover 3,False,1,10,46,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,MIN,Play Action,Cover 0 Bullets,False,2,10,46,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
24,MIN,Play Action,Cover 1 Mike Dog,False,3,11,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,MIN,Punt,,False,4,11,45,0,False,0,0,50,11,False,False,False,False,False,False,False,False,False,,False,,0,False
26,DED,Screen Pass,Cover 4,False,1,10,16,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,DED,Play Action,Cover 4,False,1,10,30,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,DED,Play Action,Cover 2,False,2,10,30,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DED,Play Action,Cover 4,False,3,10,30,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
30,DED,Punt,,False,4,14,26,0,False,0,0,60,8,False,False,False,False,False,False,False,False,False,,False,,0,False
31,MIN,Play Action,Cover 0 Bullets,False,1,10,22,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,MIN,Play Action,Cover 2,False,2,10,22,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,True
33,MIN,Play Action,Cover 2,False,1,10,11,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MIN,Play Action,Cover 2,False,2,10,11,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,MIN,Play Action,Cover 1 Mike Dog,False,3,10,11,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,MIN,Play Action,Cover 1 Mike Dog,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MIN,Play Action,Cover 0 Bullets,False,2,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,MIN,Play Action,Cover 3,False,3,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MIN,Punt,,False,4,10,25,0,False,0,0,40,62,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DED,Play Action,Cover 1 Mike Dog,False,1,10,97,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DED,Draw,Cover 3,False,2,10,97,0,False,3,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
8,DED,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
9,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MIN,Play Action,Cover 1 Mike Dog,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
11,MIN,Play Action,Cover 2,False,1,15,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
12,MIN,Play Action,Hulk,False,2,30,5,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
13,MIN,Play Action,Cover 3,False,2,40,-5,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
