Home Team:,FDS,28,0-3
Away Team:,BA,23,3-0
 
Stadium:,Barron Hilton Stadium,San Diego CA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BA,Kickoff,,True,0,0,0,0,False,0,60,0,19,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FDS,Slants,Cover 1 Mike Dog,False,1,10,24,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,FDS,Sweep,Cover 3,False,2,1,33,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,FDS,Streaks,Cover 0 Bullets,False,3,1,33,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
5,FDS,Screen Pass,Cover 3,False,3,6,28,65,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FDS,Screen Pass,Cover 0 Bullets,False,1,10,93,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,FDS,Play Action,Cover 1 Mike Dog,False,2,10,93,7,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
8,FDS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
9,FDS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BA,Slants,Cover 1 Mike Dog,False,1,10,25,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,BA,Flood,Cover 2,False,2,7,28,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
12,BA,Play Action,Cover 0 Bullets,False,3,11,24,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,BA,Slants,Cover 0 Bullets,False,1,10,40,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BA,Scissors,Cover 1 Mike Dog,False,2,10,40,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BA,Draw,Hulk,False,1,10,60,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,BA,Scissors,Cover 2,False,2,9,61,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,BA,Draw,Cover 1 Mike Dog,False,3,9,61,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,BA,Power,Cover 3,False,1,10,80,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,BA,Sweep,Hulk,False,2,10,80,0,False,-1,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
20,BA,Sweep,Cover 3,False,3,11,79,0,False,21,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
21,BA,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
22,BA,Kickoff,,True,0,0,0,0,False,0,60,0,31,False,False,False,False,False,False,False,False,False,,False,,0,False
23,FDS,Blast,Cover 1 Mike Dog,False,1,10,36,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,FDS,Slants,Cover 1 Mike Dog,False,2,9,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,FDS,Play Action,Cover 0 Bullets,False,3,9,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,FDS,Punt,,False,4,9,37,0,False,0,0,63,20,False,False,False,False,False,False,False,False,False,,False,,0,False
27,BA,Streaks,Cover 0 Bullets,False,1,10,20,79,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,BA,Scissors,Cover 4,False,1,10,99,1,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
29,BA,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
30,BA,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
31,FDS,Slants,Cover 0 Bullets,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,FDS,Streaks,Cover 3,False,2,10,25,-3,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
33,FDS,Screen Pass,Cover 1 Mike Dog,False,3,13,22,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,FDS,Punt,,False,4,13,22,0,False,0,0,55,17,False,False,False,False,False,False,False,False,False,,False,,0,False
35,BA,Power,Cover 3,False,1,10,40,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,BA,Draw,Cover 1 Mike Dog,False,2,10,40,0,False,18,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
2,BA,Flood,Cover 3,False,1,10,58,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,BA,Play Action,Hulk,False,2,10,58,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,BA,Screen Pass,Cover 4,False,1,10,69,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,BA,Draw,Cover 1 Mike Dog,False,1,10,81,0,False,-5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,BA,Draw,Cover 1 Mike Dog,False,2,15,76,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,BA,Play Action,Cover 1 Mike Dog,False,1,10,92,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,BA,Play Action,Cover 4,False,2,10,92,8,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,True,Defense: Holding,5,False
9,BA,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BA,Kickoff,,True,0,0,0,0,False,0,60,0,21,False,False,False,False,False,False,False,False,False,,False,,0,False
11,FDS,Blast,Cover 1 Mike Dog,False,1,10,26,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,FDS,Play Action,Cover 1 Mike Dog,False,1,10,40,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,FDS,Screen Pass,Cover 2,False,2,10,40,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,FDS,Play Action,Cover 1 Mike Dog,False,3,10,40,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
15,FDS,Play Action,Cover 2,False,3,20,30,35,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
