Home Team:,HTX,27,2-1
Away Team:,DD,38,2-1
 
Stadium:,The Swisha House,Houston TX
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DD,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,HTX,Play Action,Cover 3,False,1,10,25,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,HTX,Screen Pass,Cover 2,False,1,10,41,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,HTX,Screen Pass,Cover 4,False,1,10,57,-5,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
5,HTX,Slants,Cover 1 Mike Dog,False,2,15,52,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,HTX,Power,Cover 4,False,3,11,56,0,False,-5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,HTX,Punt,,False,4,16,51,0,False,0,0,49,20,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DD,Draw,Cover 1 Mike Dog,False,1,10,20,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DD,Streaks,Cover 2,False,1,10,34,65,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DD,Scissors,Cover 2,False,1,10,99,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DD,Scissors,Cover 3,False,2,10,99,1,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
12,DD,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
13,DD,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
14,HTX,Slants,Cover 1 Mike Dog,False,1,10,25,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,HTX,Screen Pass,Cover 2,False,1,10,36,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,HTX,Draw,Cover 4,False,1,10,48,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,HTX,Flood,Cover 3,False,2,16,42,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,HTX,Streaks,Cover 3,False,3,5,53,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Roughing the Passer,15,False
19,HTX,Play Action,Cover 1 Mike Dog,False,1,10,73,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
20,HTX,Draw,Cover 2,False,2,16,67,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,HTX,Power,Cover 4,False,3,16,67,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,HTX,Field Goal,,False,4,9,74,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
23,HTX,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DD,Streaks,Cover 2,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DD,Streaks,Cover 1 Mike Dog,False,2,10,25,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Pass Interference,-10,True
26,DD,Streaks,Cover 1 Mike Dog,False,3,20,15,40,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,DD,Streaks,Cover 2,False,1,10,55,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,DD,Flood,Cover 2,False,2,10,55,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DD,Streaks,Cover 2,False,3,4,61,39,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
30,DD,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
31,DD,Kickoff,,True,0,0,0,0,False,0,60,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
32,HTX,Screen Pass,Cover 3,False,1,10,21,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,HTX,Flood,Cover 1 Mike Dog,False,1,10,34,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,HTX,Draw,Cover 2,False,2,4,40,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,HTX,Draw,Cover 2,False,1,10,45,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
 
Second Quarter:
1,HTX,Play Action,Cover 1 Mike Dog,False,1,20,35,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,HTX,Draw,Cover 1 Mike Dog,False,2,20,35,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,HTX,Power,Cover 3,False,3,20,35,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,HTX,Punt,,False,4,15,40,0,False,0,0,60,20,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DD,Slants,Cover 3,False,1,10,20,2,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
6,DD,Scissors,Cover 3,False,2,8,22,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
7,DD,Scissors,Cover 1 Mike Dog,False,3,9,21,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DD,Punt,,False,4,9,21,0,False,0,0,55,6,False,False,False,False,False,False,False,False,False,,False,,0,False
9,HTX,Screen Pass,Cover 1 Mike Dog,False,1,10,30,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,HTX,Play Action,Cover 2,False,2,10,30,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
11,HTX,Flood,Cover 4,False,2,15,25,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,HTX,Draw,Cover 4,False,3,3,37,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,HTX,Draw,Cover 2,False,1,10,50,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,HTX,Screen Pass,Cover 3,False,1,10,60,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,HTX,Draw,Cover 3,False,1,10,73,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,HTX,Power,Cover 2,False,2,7,76,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,HTX,Streaks,Cover 3,False,1,10,83,17,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,True,Defense: Unnecessary Roughness,15,False
18,HTX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,HTX,Kickoff,,True,0,0,0,0,False,0,45,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DD,Slants,Cover 1 Mike Dog,False,1,10,36,2,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
21,DD,Streaks,Cover 3,False,1,10,41,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
22,DD,Streaks,Cover 1 Mike Dog,False,2,10,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
23,DD,Flood,Cover 3,False,2,15,36,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DD,Max Protect,Cover 2,False,3,5,46,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DD,Scissors,Cover 3,False,1,10,51,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,DD,Streaks,Cover 2,False,1,10,63,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
