Home Team:,ASP,6,1-2
Away Team:,SS,20,2-1
 
Stadium:,The Ice Castle presented by Yeti,Anchorage AK
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,ASP,Kickoff,,True,0,0,0,0,False,0,55,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
2,SS,Sweep,Cover 1 Mike Dog,False,1,10,26,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,SS,Power,Cover 0 Bullets,False,1,10,43,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,SS,Power,Cover 1 Mike Dog,False,2,10,43,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,SS,Power,Cover 1 Mike Dog,False,1,10,55,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,SS,Draw,Cover 1 Mike Dog,False,1,10,67,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,SS,Scissors,Cover 0 Bullets,False,2,5,72,8,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
8,SS,Power,Cover 0 Bullets,False,1,10,80,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,SS,Flood,Cover 1 Mike Dog,False,1,10,90,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
10,SS,Slants,Cover 3,False,2,10,90,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,SS,Draw,Cover 1 Mike Dog,False,3,10,90,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,SS,Field Goal,,False,4,2,98,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
13,SS,Kickoff,,True,0,0,0,0,False,0,55,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
14,ASP,Sweep,Cover 3,False,1,10,26,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,ASP,Flood,Cover 1 Mike Dog,False,1,10,39,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ASP,Play Action,Cover 2,False,2,10,39,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ASP,Sweep,Cover 3,False,3,10,39,0,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
18,ASP,Punt,,False,4,10,39,0,False,0,0,50,10,False,False,False,False,False,False,False,False,False,,False,,0,False
19,SS,Slants,Cover 0 Bullets,False,1,10,21,-2,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,True,Defense: Pass Interference,15,True
20,SS,Sweep,Cover 3,False,1,10,10,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
