Home Team:,DCS,27,2-1
Away Team:,NYC,38,3-0
 
Stadium:,Wiry Bets Stadium,Washington DC
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DCS,Kickoff,,True,0,0,0,0,False,0,60,0,42,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NYC,Screen Pass,Hulk,False,1,10,47,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NYC,Blast,Cover 0 Bullets,False,2,2,55,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NYC,Scissors,Cover 3,False,1,10,58,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NYC,Blast,Cover 2,False,1,10,81,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NYC,Sweep,Cover 0 Bullets,False,2,6,85,0,False,15,0,0,0,False,False,True,False,False,False,False,False,True,,False,,0,False
7,NYC,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
8,NYC,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DCS,Play Action,Cover 2,False,1,10,25,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DCS,Sweep,Cover 4,False,1,10,41,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DCS,Draw,Cover 2,False,2,3,48,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DCS,Draw,Cover 1 Mike Dog,False,1,10,65,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DCS,Option,Cover 1 Mike Dog,False,1,10,82,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,DCS,Screen Pass,Cover 0 Bullets,False,1,10,93,7,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
15,DCS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
16,DCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
17,NYC,Sweep,Cover 3,False,1,10,25,0,False,-5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,NYC,Draw,Cover 0 Bullets,False,2,15,20,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,NYC,Streaks,Cover 3,False,3,15,20,22,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,NYC,Power,Cover 0 Bullets,False,1,10,42,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NYC,Streaks,Cover 2,False,2,8,44,0,True,0,0,0,0,False,False,False,False,False,False,False,False,True,,False,,0,False
22,NYC,Draw,Cover 4,False,3,8,44,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,NYC,Draw,Cover 0 Bullets,False,1,10,54,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,NYC,Flood,Cover 3,False,2,10,54,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,NYC,Draw,Cover 2,False,3,4,60,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,NYC,Screen Pass,Cover 3,False,1,10,70,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,NYC,Sweep,Cover 0 Bullets,False,2,10,70,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,NYC,Blast,Cover 4,False,1,10,89,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NYC,Play Action,Cover 2,False,2,9,90,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,NYC,Draw,Cover 0 Bullets,False,3,9,90,0,False,10,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
31,NYC,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
32,NYC,Kickoff,,True,0,0,0,0,False,0,55,0,12,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DCS,Sweep,Cover 1 Mike Dog,False,1,10,22,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,DCS,Slants,Cover 0 Bullets,False,2,5,27,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,DCS,Power,Cover 0 Bullets,False,1,10,32,0,False,13,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
 
Second Quarter:
1,DCS,Play Action,Cover 1 Mike Dog,False,1,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DCS,Screen Pass,Cover 2,False,2,10,45,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DCS,Slants,Cover 1 Mike Dog,False,1,10,64,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DCS,Play Action,Cover 1 Mike Dog,False,2,4,70,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DCS,,Cover 1 Mike Dog,False,3,4,70,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DCS,Field Goal,,False,4,4,70,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
