Home Team:,BGP,30,1-3
Away Team:,DCS,6,2-2
 
Stadium:,The Bird Cage,Baltimore MD
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,BGP,Slants,Cover 1 Mike Dog,False,1,10,25,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,BGP,Screen Pass,Hulk,False,2,1,34,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
4,BGP,Flood,Cover 4,False,2,11,24,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,BGP,Screen Pass,Cover 3,False,1,10,35,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,BGP,Screen Pass,Cover 2,False,1,10,49,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,BGP,Streaks,Cover 3,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,False,True,,False,,0,False
8,BGP,Slants,Cover 3,False,2,10,65,35,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
9,BGP,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
10,BGP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DCS,Play Action,Cover 2,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DCS,Play Action,Cover 3,False,2,10,25,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DCS,Screen Pass,Cover 3,False,1,10,44,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,DCS,Scissors,Cover 2,False,2,10,44,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,DCS,Scissors,Cover 2,False,3,10,44,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,DCS,Punt,,False,4,10,44,0,False,0,0,50,31,False,False,False,False,False,False,False,False,False,,False,,0,False
17,BGP,Scissors,Cover 3,False,1,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,BGP,Slants,Cover 2,False,2,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,BGP,Streaks,Cover 2,False,3,10,37,47,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,BGP,Flood,Cover 1 Mike Dog,False,1,10,84,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
