Home Team:,DOG,30,2-2
Away Team:,FAN,20,4-0
 
Stadium:,Portillo's Stadium,Chicago IL
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DOG,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FAN,Power,Cover 4,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,True,Offense: Holding,-10,True
3,FAN,Power,Cover 3,False,1,20,15,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,FAN,Play Action,Cover 0 Bullets,False,2,17,18,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,FAN,Draw,Cover 0 Bullets,False,3,17,18,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FAN,Punt,,False,4,13,22,0,False,0,0,65,17,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DOG,Blast,Cover 0 Bullets,False,1,10,30,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DOG,Slants,Cover 3,False,2,8,32,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DOG,Power,Hulk,False,3,3,37,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DOG,Draw,Cover 1 Mike Dog,False,1,10,52,0,False,48,0,0,0,False,False,True,False,False,False,False,True,False,,False,,0,False
11,DOG,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
12,DOG,Kickoff,,True,0,0,0,0,False,0,55,0,10,False,False,False,False,False,False,False,False,False,,False,,0,False
13,FAN,Flood,Cover 1 Mike Dog,False,1,10,20,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
14,FAN,Screen Pass,Cover 3,False,2,14,16,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,FAN,Screen Pass,Hulk,False,1,10,32,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,FAN,Option,Cover 2,False,2,10,32,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,FAN,Power,Cover 0 Bullets,False,3,2,40,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,FAN,Play Action,Cover 1 Mike Dog,False,1,10,45,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
19,FAN,Option,Hulk,False,2,11,44,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,FAN,Flood,Cover 4,False,1,10,58,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,FAN,Flood,Cover 4,False,1,10,68,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,FAN,Option,Cover 2,False,2,3,75,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,FAN,Flood,Cover 4,False,1,10,87,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,FAN,Option,Cover 0 Bullets,False,2,10,87,0,False,13,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
25,FAN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
26,FAN,Kickoff,,True,0,0,0,0,False,0,55,0,48,False,False,False,False,False,False,False,False,False,,False,,0,False
27,DOG,Blast,Cover 1 Mike Dog,False,1,10,58,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,DOG,Play Action,Cover 1 Mike Dog,False,2,5,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DOG,Draw,Cover 1 Mike Dog,False,3,5,63,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,DOG,Streaks,Cover 3,False,1,10,73,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
31,DOG,Blast,Cover 3,False,1,20,63,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,DOG,Screen Pass,Cover 1 Mike Dog,False,2,15,68,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DOG,Power,Cover 0 Bullets,False,3,15,68,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,DOG,Field Goal,,False,4,3,80,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
