Home Team:,MIN,24,1-3
Away Team:,NYC,23,4-0
 
Stadium:,Mall of America Parking Lot,Minneapolis MN
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,60,0,26,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NYC,Blast,Cover 3,False,1,10,31,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NYC,Blast,Cover 0 Bullets,False,2,5,36,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NYC,Slants,Cover 0 Bullets,False,3,3,38,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
5,NYC,Draw,Cover 3,False,1,10,45,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NYC,Slants,Cover 1 Mike Dog,False,2,10,45,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,NYC,Sweep,Cover 0 Bullets,False,3,2,53,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
8,NYC,Punt,,False,4,2,53,0,False,0,0,47,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MIN,Play Action,Cover 1 Mike Dog,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MIN,Sweep,Cover 4,False,2,10,20,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Play Action,Cover 4,False,3,2,28,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MIN,Blast,Cover 1 Mike Dog,False,1,10,46,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MIN,Draw,Cover 2,False,2,3,53,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
14,MIN,Power,Cover 0 Bullets,False,3,18,38,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,MIN,Punt,,False,4,10,46,0,False,0,0,50,8,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NYC,Blast,Cover 1 Mike Dog,False,1,10,12,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,NYC,Draw,Cover 1 Mike Dog,False,2,8,14,0,False,25,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,NYC,Option,Cover 2,False,1,10,39,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,NYC,Sweep,Cover 1 Mike Dog,False,1,10,52,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,NYC,Screen Pass,Cover 0 Bullets,False,2,4,58,29,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NYC,Draw,Cover 1 Mike Dog,False,1,10,87,0,False,20,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
22,NYC,Flood,Cover 2,False,1,15,82,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,NYC,Sweep,Cover 1 Mike Dog,False,2,8,89,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,NYC,Screen Pass,Cover 2,False,1,10,98,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,NYC,Streaks,Cover 2,False,2,10,98,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,NYC,Streaks,Cover 3,False,3,10,98,2,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
27,NYC,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
28,NYC,Kickoff,,True,0,0,0,0,False,0,55,0,24,False,False,False,False,False,False,False,False,False,,False,,0,False
29,MIN,Screen Pass,Cover 1 Mike Dog,False,1,10,34,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
30,MIN,Draw,Cover 2,False,1,10,52,0,False,12,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
31,MIN,Blast,Cover 0 Bullets,False,1,10,64,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,MIN,Power,Cover 1 Mike Dog,False,2,9,65,0,False,21,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MIN,Power,Cover 2,False,1,10,86,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MIN,Draw,Cover 2,False,2,3,93,0,False,7,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
35,MIN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NYC,Slants,Cover 1 Mike Dog,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
3,NYC,Draw,Cover 3,False,2,10,25,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NYC,Sweep,Cover 0 Bullets,False,3,5,30,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NYC,Draw,Cover 3,False,1,10,41,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NYC,Slants,Cover 2,False,2,8,43,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,NYC,Slants,Cover 2,False,3,3,48,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,NYC,Punt,,False,4,3,48,0,False,0,0,52,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MIN,Power,Cover 1 Mike Dog,False,1,10,20,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
10,MIN,Slants,Cover 2,False,1,15,15,-2,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Blast,Cover 2,False,2,17,13,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MIN,Draw,Cover 1 Mike Dog,False,3,15,15,0,False,23,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MIN,Blast,Cover 1 Mike Dog,False,1,10,38,0,False,1,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
14,MIN,Blast,Cover 4,False,2,9,39,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,MIN,Power,Cover 4,False,3,3,45,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,MIN,Blast,Cover 4,False,1,10,49,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,MIN,Blast,Cover 0 Bullets,False,2,7,52,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MIN,Power,Cover 2,False,1,10,68,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MIN,Blast,Cover 1 Mike Dog,False,2,5,73,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,MIN,Draw,Cover 2,False,3,3,75,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,MIN,Sweep,Cover 1 Mike Dog,False,1,10,81,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,MIN,Power,Cover 1 Mike Dog,False,1,10,96,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
