Home Team:,NWK,42,1-3
Away Team:,PP,31,0-4
 
Stadium:,The Stairwell,Newark NJ
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,PP,Kickoff,,True,0,0,0,0,False,0,60,0,70,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NWK,Max Protect,Cover 3,False,1,10,75,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
3,NWK,Slants,Cover 2,False,1,15,70,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
4,NWK,Sweep,Cover 2,False,1,25,60,0,False,22,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NWK,Flood,Cover 2,False,2,3,82,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
6,NWK,Slants,Cover 2,False,2,13,72,2,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,NWK,Streaks,Cover 1 Mike Dog,False,3,11,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,NWK,Field Goal,,False,4,11,74,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,PP,Power,Cover 2,False,1,10,33,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,PP,Power,Cover 1 Mike Dog,False,2,10,33,0,False,21,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,PP,Slants,Cover 0 Bullets,False,1,10,54,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,PP,Play Action,Cover 3,False,2,7,57,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,PP,Blast,Cover 2,False,1,10,72,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,PP,Draw,Cover 3,False,2,7,75,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
15,PP,Draw,Cover 2,False,2,12,70,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
