Home Team:,HTX,42,2-2
Away Team:,ATL,22,0-4
 
Stadium:,The Swisha House,Houston TX
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,ATL,Kickoff,,True,0,0,0,0,False,0,60,0,17,False,False,False,False,False,False,False,False,False,,False,,0,False
2,HTX,Screen Pass,Cover 1 Mike Dog,False,1,10,22,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
3,HTX,Slants,Cover 3,False,1,10,27,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,HTX,Draw,Cover 3,False,2,3,34,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,HTX,Screen Pass,Cover 1 Mike Dog,False,3,3,34,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,HTX,Draw,Cover 1 Mike Dog,False,1,10,43,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,HTX,Slants,Cover 2,False,1,10,53,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
8,HTX,Screen Pass,Cover 3,False,2,5,58,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,HTX,Play Action,Cover 0 Bullets,False,1,10,66,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,HTX,Draw,Cover 3,False,2,2,74,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,HTX,Screen Pass,Cover 2,False,1,10,77,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,HTX,Slants,Cover 2,False,2,10,77,23,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
13,HTX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
14,HTX,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
15,ATL,Flood,Cover 2,False,1,10,25,24,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ATL,Streaks,Cover 3,False,1,10,49,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ATL,Flood,Cover 3,False,2,10,49,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,ATL,Slants,Cover 3,False,1,10,66,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
