Home Team:,SS,35,3-1
Away Team:,MCS,9,2-2
 
Stadium:,The Tank,Seattle WA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,SS,Power,Cover 0 Bullets,False,1,10,25,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,SS,Sweep,Cover 1 Mike Dog,False,2,2,33,0,False,-4,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
4,SS,Flood,Cover 2,False,2,12,23,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,SS,Flood,Cover 3,False,3,12,23,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,False
6,SS,Punt,,False,4,12,23,0,False,0,0,65,8,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MCS,Power,Cover 3,False,1,10,20,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MCS,Screen Pass,Cover 0 Bullets,False,2,7,23,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MCS,Draw,Cover 1 Mike Dog,False,3,7,23,0,False,10,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
10,MCS,Slants,Cover 1 Mike Dog,False,1,10,33,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
11,MCS,Draw,Cover 0 Bullets,False,1,15,28,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,False
12,MCS,Power,Cover 1 Mike Dog,False,2,10,33,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MCS,Draw,Cover 1 Mike Dog,False,3,2,41,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,MCS,Punt,,False,4,5,38,0,False,0,0,50,25,False,False,False,False,False,False,False,False,False,,False,,0,False
15,SS,Option,Cover 1 Mike Dog,False,1,10,37,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,SS,Sweep,Cover 3,False,1,10,53,0,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
