Home Team:,DCS,24,2-3
Away Team:,CND,31,3-2
 
Stadium:,Wiry Bets Stadium,Washington DC
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,CND,Kickoff,,True,0,0,0,0,False,0,50,0,23,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DCS,Power,Cover 0 Bullets,False,1,10,38,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DCS,Sweep,Cover 0 Bullets,False,2,10,38,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DCS,Screen Pass,Cover 0 Bullets,False,3,4,44,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DCS,Streaks,Cover 1 Mike Dog,False,1,10,53,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DCS,Streaks,Cover 1 Mike Dog,False,2,10,53,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DCS,Sweep,Cover 1 Mike Dog,False,3,10,53,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DCS,Sweep,Cover 1 Mike Dog,False,1,10,69,0,False,23,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DCS,Play Action,Cover 1 Mike Dog,False,1,10,92,8,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
10,DCS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
11,DCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
