Home Team:,NWK,10,2-3
Away Team:,DED,6,3-2
 
Stadium:,The Stairwell,Newark NJ
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DED,Kickoff,,True,0,0,0,0,False,0,60,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NWK,Play Action,Cover 1 Mike Dog,False,1,10,21,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NWK,Draw,Cover 4,False,2,10,21,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
4,NWK,Play Action,Cover 2,False,2,15,16,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NWK,Power,Cover 1 Mike Dog,False,3,15,16,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NWK,Punt,,False,4,11,20,0,False,0,0,50,10,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DED,Draw,Cover 2,False,1,10,40,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DED,Draw,Cover 2,False,2,10,40,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DED,Scissors,Cover 1 Mike Dog,False,3,2,48,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DED,Punt,,False,4,2,48,0,False,0,0,52,20,False,False,False,False,False,False,False,False,False,,False,,0,False
11,NWK,Play Action,Cover 3,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NWK,Max Protect,Cover 2,False,2,10,20,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,NWK,Draw,Cover 1 Mike Dog,False,3,1,29,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NWK,Play Action,Cover 1 Mike Dog,False,1,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,NWK,Streaks,Cover 2,False,2,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NWK,Max Protect,Cover 0 Bullets,False,3,10,45,6,False,0,0,0,0,False,False,False,False,False,False,False,False,True,,False,,0,False
17,NWK,Punt,,False,4,4,51,0,False,0,0,49,20,False,False,False,False,False,False,False,False,False,,False,,0,False
18,DED,Slants,Cover 3,False,1,10,20,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
19,DED,Play Action,Cover 3,False,1,15,15,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DED,Play Action,Cover 2,False,1,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
21,DED,Power,Cover 2,False,1,10,39,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DED,Play Action,Cover 2,False,2,16,33,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DED,Draw,Cover 2,False,3,16,33,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
24,DED,Punt,,False,4,3,46,0,False,0,0,45,10,False,False,False,False,False,False,False,False,False,,False,,0,False
25,NWK,Option,Cover 2,False,1,10,19,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
26,NWK,Option,Cover 2,False,1,20,9,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,NWK,Power,Cover 1 Mike Dog,False,2,8,21,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,NWK,Screen Pass,Cover 1 Mike Dog,False,3,4,25,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NWK,Flood,Cover 1 Mike Dog,False,1,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,NWK,Draw,Cover 2,False,2,10,36,0,False,9,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
31,NWK,Option,Cover 2,False,3,1,45,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,NWK,Punt,,False,4,4,42,0,False,0,0,58,20,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DED,Slants,Cover 3,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,DED,Blast,Cover 3,False,2,10,20,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
35,DED,Scissors,Cover 2,False,1,10,25,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Pass Interference,15,False
 
Second Quarter:
1,DED,Slants,Cover 2,False,1,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DED,Power,Cover 2,False,2,10,45,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DED,Draw,Cover 1 Mike Dog,False,3,10,45,0,False,14,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
4,DED,Play Action,Cover 2,False,1,10,59,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DED,Screen Pass,Cover 1 Mike Dog,False,2,10,59,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DED,Power,Cover 3,False,3,10,59,0,False,15,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
7,DED,Play Action,Cover 3,False,1,10,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DED,Power,Cover 0 Bullets,False,2,10,74,0,False,10,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
9,DED,Play Action,Cover 2,False,1,10,84,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DED,Power,Cover 3,False,2,10,84,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DED,Draw,Cover 2,False,3,3,91,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DED,Field Goal,,False,4,3,91,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
13,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NWK,Option,Cover 3,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,NWK,Draw,Cover 0 Bullets,False,2,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NWK,Slants,Cover 3,False,3,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,NWK,Punt,,False,4,10,25,0,False,0,0,50,10,False,False,False,False,False,False,False,False,False,,False,,0,False
18,DED,Power,Cover 2,False,1,10,35,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,DED,Draw,Cover 3,False,2,10,35,0,False,0,0,0,0,False,False,False,False,False,True,True,False,False,,False,,0,False
20,NWK,Screen Pass,Cover 4,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NWK,Sweep,Cover 3,False,2,10,65,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,NWK,Draw,Cover 0 Bullets,False,3,10,65,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,NWK,Field Goal,,False,4,10,65,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DED,Draw,Cover 2,False,1,10,42,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DED,Scissors,Cover 3,False,2,1,51,-2,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,False,,0,False
26,NWK,Option,Cover 3,False,1,10,51,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,NWK,Play Action,Cover 0 Bullets,False,1,10,67,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
28,NWK,Slants,Cover 3,False,2,10,67,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NWK,Play Action,Cover 3,False,3,2,75,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,NWK,Field Goal,,False,4,2,75,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
31,NWK,Kickoff,,True,0,0,0,0,False,0,60,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
32,DED,Power,Cover 2,False,1,10,21,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DED,Power,Cover 1 Mike Dog,False,2,1,30,0,False,0,0,0,0,False,False,False,False,False,True,True,False,False,,False,,0,False
34,NWK,Max Protect,Cover 1 Mike Dog,False,1,10,70,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Pass Interference,-10,True
35,NWK,Draw,Cover 3,False,2,20,60,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,NWK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DED,Blast,Cover 2,False,1,10,25,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DED,Play Action,Cover 3,False,2,8,27,-5,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
4,DED,Draw,Cover 1 Mike Dog,False,2,3,32,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DED,Power,Cover 2,False,3,3,32,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DED,Power,Cover 2,False,1,10,36,0,False,10,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
7,DED,Power,Cover 2,False,1,10,46,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
8,DED,Draw,Cover 2,False,2,10,46,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DED,Play Action,Cover 0 Bullets,False,3,2,54,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DED,Scissors,Cover 3,False,1,10,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DED,Draw,Cover 2,False,2,10,63,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
12,DED,Power,Cover 0 Bullets,False,2,15,58,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
13,DED,Scissors,Cover 2,False,1,10,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,DED,Power,Cover 1 Mike Dog,False,2,10,63,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,DED,Play Action,Cover 2,False,3,5,68,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,DED,Field Goal,,False,4,5,68,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
17,DED,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
18,NWK,Sweep,Cover 2,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,NWK,Play Action,Cover 3,False,2,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,NWK,Scissors,Cover 3,False,3,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NWK,Punt,,False,4,10,25,0,False,0,0,45,6,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DED,Play Action,Cover 2,False,1,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DED,Play Action,Cover 3,False,2,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DED,Draw,Cover 3,False,3,10,36,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,DED,Punt,,False,4,7,39,0,False,0,0,55,12,False,False,False,False,False,False,False,False,False,,False,,0,False
26,NWK,Flood,Cover 3,False,1,10,18,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
27,NWK,Flood,Cover 2,False,1,20,8,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,NWK,Sweep,Cover 0 Bullets,False,2,1,27,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NWK,Max Protect,Cover 0 Bullets,False,1,10,31,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,NWK,Scissors,Cover 0 Bullets,False,2,10,31,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,NWK,Option,Cover 0 Bullets,False,3,10,31,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
32,NWK,Play Action,Cover 3,False,1,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,NWK,Slants,Cover 2,False,2,10,36,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,NWK,Play Action,Cover 1 Mike Dog,False,3,7,39,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,NWK,Punt,,False,4,7,39,0,False,0,0,50,16,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Fourth Quarter:
1,DED,Sweep,Cover 3,False,1,10,27,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DED,Scissors,Cover 2,False,1,10,38,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Roughing the Passer,15,True
3,DED,Draw,Cover 1 Mike Dog,False,1,10,53,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DED,Draw,Cover 3,False,2,13,50,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
5,DED,Blast,Cover 2,False,1,10,55,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DED,Draw,Cover 3,False,2,7,58,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,DED,Power,Cover 2,False,3,7,58,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DED,Punt,,False,4,7,58,0,False,0,0,42,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,NWK,Sweep,Cover 3,False,1,10,20,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,NWK,Option,Cover 3,False,2,10,20,0,False,14,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
11,NWK,Scissors,Cover 0 Bullets,False,1,10,34,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NWK,Slants,Cover 2,False,1,10,55,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,NWK,Draw,Cover 3,False,2,4,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NWK,Slants,Cover 1 Mike Dog,False,3,4,61,-3,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
15,NWK,Punt,,False,4,7,58,0,False,0,0,42,20,False,False,False,False,False,False,False,False,False,,False,,0,False
