Home Team:,BGP,19,2-3
Away Team:,DOG,12,3-2
 
Stadium:,The Bird Cage,Baltimore MD
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BGP,Kickoff,,True,0,0,0,0,False,0,50,0,27,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DOG,Scissors,Cover 3,False,1,10,42,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DOG,Slants,Cover 1 Mike Dog,False,1,10,65,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DOG,Blast,Cover 1 Mike Dog,False,2,6,69,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DOG,Flood,Cover 2,False,3,6,69,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DOG,Field Goal,,False,4,6,69,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
7,DOG,Kickoff,,True,0,0,0,0,False,0,60,0,15,False,False,False,False,False,False,False,False,False,,False,,0,False
8,BGP,Slants,Cover 3,False,1,10,20,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,BGP,Screen Pass,Cover 2,False,2,6,24,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BGP,Slants,Cover 1 Mike Dog,False,1,10,45,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,BGP,Flood,Cover 0 Bullets,False,2,2,53,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
12,BGP,Screen Pass,Cover 0 Bullets,False,3,3,52,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,BGP,Flood,Cover 4,False,1,10,68,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BGP,Streaks,Cover 0 Bullets,False,2,6,72,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BGP,Scissors,Cover 3,False,3,6,72,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,BGP,Field Goal,,False,4,6,72,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
17,BGP,Kickoff,,True,0,0,0,0,False,0,60,0,26,False,False,False,False,False,False,False,False,False,,False,,0,False
18,DOG,Slants,Cover 1 Mike Dog,False,1,10,31,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,DOG,Power,Cover 2,False,1,10,46,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DOG,Sweep,Cover 1 Mike Dog,False,2,3,53,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
21,DOG,Slants,Cover 3,False,1,10,58,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
22,DOG,Slants,Cover 2,False,1,15,53,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DOG,Flood,Cover 0 Bullets,False,2,11,57,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DOG,Slants,Cover 2,False,3,2,66,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Offsides,5,False
