Home Team:,BA,14,3-2
Away Team:,MCS,13,2-3
 
Stadium:,Chase-Oracle Stadium,San Francisco CA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BA,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,MCS,Play Action,Cover 0 Bullets,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MCS,Power,Cover 2,False,2,10,25,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,MCS,Flood,Cover 2,False,3,4,31,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MCS,Sweep,Cover 2,False,1,10,42,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MCS,Power,Cover 3,False,1,10,53,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
7,MCS,Flood,Cover 1 Mike Dog,False,1,5,58,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
8,MCS,Flood,Cover 3,False,1,15,48,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
9,MCS,Blast,Cover 3,False,1,10,53,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MCS,Draw,Cover 3,False,2,8,55,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
11,MCS,Blast,Cover 2,False,2,18,45,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MCS,Flood,Cover 2,False,3,24,39,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MCS,Punt,,False,4,24,39,0,False,0,0,61,20,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BA,Scissors,Cover 2,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BA,Draw,Cover 3,False,2,10,20,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,BA,Draw,Cover 3,False,3,9,21,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,BA,Punt,,False,4,8,22,0,False,0,0,50,16,False,False,False,False,False,False,False,False,False,,False,,0,False
