Home Team:,PP,10,0-5
Away Team:,MIN,37,2-3
 
Stadium:,Blood Clot Arena,Philadelphia PA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,PP,Scissors,Cover 4,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,PP,Play Action,Cover 1 Mike Dog,False,2,10,25,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
4,PP,Draw,Cover 2,False,2,15,20,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,PP,Slants,Cover 2,False,3,15,20,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,False
6,PP,Punt,,False,4,1,34,0,False,0,0,60,17,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MIN,Draw,Cover 1 Mike Dog,False,1,10,23,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MIN,Blast,Cover 3,False,1,10,38,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MIN,Power,Cover 3,False,2,7,41,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MIN,Blast,Cover 2,False,3,4,44,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Punt,,False,4,2,46,0,False,0,0,54,20,False,False,False,False,False,False,False,False,False,,False,,0,False
12,PP,Play Action,Cover 2,False,1,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,PP,Flood,Cover 1 Mike Dog,False,2,10,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,PP,Screen Pass,Cover 0 Bullets,False,3,10,20,65,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
15,PP,Draw,Cover 1 Mike Dog,False,3,20,10,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,PP,Punt,,False,4,10,20,0,False,0,0,50,9,False,False,False,False,False,False,False,False,False,,False,,0,False
17,MIN,Power,Cover 3,False,1,10,39,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MIN,Draw,Cover 2,False,2,4,45,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,MIN,Sweep,Cover 2,False,1,10,50,0,False,18,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,MIN,Streaks,Cover 1 Mike Dog,False,1,10,68,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,MIN,Power,Cover 3,False,2,10,68,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,MIN,Streaks,Cover 2,False,3,4,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,MIN,Field Goal,,False,4,4,74,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
24,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
25,PP,Option,Cover 4,False,1,10,25,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,PP,Play Action,Cover 2,False,2,2,33,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,PP,Screen Pass,Cover 3,False,3,2,33,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,PP,Draw,Cover 2,False,1,10,49,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,PP,Draw,Cover 3,False,1,10,60,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,PP,Screen Pass,Cover 2,False,2,9,61,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,PP,Blast,Cover 0 Bullets,False,3,9,61,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
32,PP,Punt,,False,4,24,46,0,False,0,0,50,12,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MIN,Blast,Cover 3,False,1,10,16,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MIN,Streaks,Cover 3,False,2,6,20,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,MIN,Draw,Cover 3,False,3,6,20,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,MIN,Punt,,False,4,4,22,0,False,0,0,55,20,False,False,False,False,False,False,False,False,False,,False,,0,False
2,PP,Slants,Cover 1 Mike Dog,False,1,10,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,PP,Slants,Cover 2,False,2,10,43,-5,True,0,0,0,0,False,False,False,False,True,False,True,False,False,,False,,0,False
4,MIN,Power,Cover 3,False,1,10,62,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MIN,Power,Cover 1 Mike Dog,False,2,10,62,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MIN,Draw,Cover 2,False,3,3,69,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MIN,Power,Cover 3,False,1,10,78,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MIN,Draw,Cover 4,False,2,4,84,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Unnecessary Roughness,15,True
9,MIN,Sweep,Cover 2,False,1,10,99,0,False,1,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
10,MIN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Kickoff,,True,0,0,0,0,False,0,60,0,12,False,False,False,False,False,False,False,False,False,,False,,0,False
12,PP,Draw,Cover 2,False,1,10,17,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,PP,Power,Cover 3,False,2,10,17,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,PP,Slants,Cover 1 Mike Dog,False,1,10,33,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,PP,Draw,Cover 1 Mike Dog,False,2,5,38,0,False,13,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
16,PP,Slants,Hulk,False,1,10,51,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,PP,Slants,Cover 1 Mike Dog,False,1,10,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,PP,Slants,Cover 0 Bullets,False,2,10,63,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,PP,Slants,Cover 2,False,1,10,73,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,PP,Play Action,Cover 0 Bullets,False,2,10,73,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,PP,Draw,Cover 4,False,3,10,73,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,PP,Power,Cover 3,False,1,10,83,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,PP,Slants,Cover 1 Mike Dog,False,2,4,89,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,PP,Blast,Cover 1 Mike Dog,False,3,4,89,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,PP,Field Goal,,False,4,4,89,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
26,PP,Kickoff,,True,0,0,0,0,False,0,60,0,13,False,False,False,False,False,False,False,False,False,,False,,0,False
27,MIN,Blast,Cover 2,False,1,10,18,0,False,11,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
28,MIN,Blast,Cover 1 Mike Dog,False,1,10,29,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,MIN,Power,Cover 2,False,2,9,30,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,MIN,Power,Cover 3,False,3,5,34,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,MIN,Option,Cover 3,False,1,10,44,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,MIN,Power,Cover 2,False,1,10,63,0,False,22,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MIN,Draw,Cover 1 Mike Dog,False,1,10,85,0,False,15,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
34,MIN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
35,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,PP,Kickoff,,True,0,0,0,0,False,0,60,0,58,False,False,False,False,False,False,False,False,False,,False,,0,False
2,MIN,Option,Cover 3,False,1,10,63,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MIN,Power,Cover 2,False,2,10,63,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,MIN,Blast,Cover 2,False,1,10,74,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MIN,Play Action,Cover 3,False,2,8,76,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MIN,Streaks,Cover 2,False,1,10,96,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MIN,Power,Cover 2,False,2,10,96,0,False,4,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
8,MIN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
9,MIN,Kickoff,,True,0,0,0,0,False,0,45,0,21,False,False,False,False,False,False,False,False,False,,False,,0,False
10,PP,Option,Cover 1 Mike Dog,False,1,10,41,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
11,PP,Power,Cover 2,False,1,15,36,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,PP,Blast,Cover 4,False,2,11,40,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,PP,Power,Cover 3,False,3,10,41,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,PP,Punt,,False,4,5,46,0,False,0,0,54,20,False,False,False,False,False,False,False,False,False,,False,,0,False
