Home Team:,FDS,3,2-3
Away Team:,ATL,13,0-5
 
Stadium:,Barron Hilton Stadium,San Diego CA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,FDS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,ATL,Flood,Cover 4,False,1,10,25,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,ATL,Flood,Cover 2,False,2,4,31,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,ATL,Draw,Cover 0 Bullets,False,1,10,40,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,ATL,Draw,Hulk,False,2,5,45,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,ATL,Play Action,Cover 0 Bullets,False,3,5,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,ATL,Punt,,False,4,5,45,0,False,0,0,55,20,False,False,False,False,False,False,False,False,False,,False,,0,False
8,FDS,Play Action,Cover 3,False,1,10,20,55,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,FDS,Screen Pass,Cover 2,False,1,10,75,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,FDS,Option,Cover 0 Bullets,False,2,10,75,0,False,0,0,0,0,False,False,False,False,False,True,True,False,False,,False,,0,False
11,ATL,Draw,Cover 2,False,1,10,25,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,ATL,Play Action,Cover 1 Mike Dog,False,1,10,35,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
13,ATL,Draw,Cover 0 Bullets,False,2,10,35,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
14,ATL,Draw,Cover 3,False,2,20,25,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
15,ATL,Draw,Cover 3,False,2,25,20,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
16,ATL,Slants,Cover 1 Mike Dog,False,2,35,10,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ATL,Streaks,Cover 3,False,3,35,10,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,ATL,Punt,,False,4,35,10,0,False,0,0,65,19,False,False,False,False,False,False,False,False,False,,False,,0,False
