Home Team:,SS,16,4-1
Away Team:,DD,27,3-2
 
Stadium:,The Tank,Seattle WA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,SS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DD,Scissors,Cover 1 Mike Dog,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DD,Streaks,Cover 2,False,2,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DD,Flood,Cover 4,False,3,10,25,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DD,Punt,,False,4,1,34,0,False,0,0,65,20,False,False,False,False,False,False,False,False,False,,False,,0,False
6,SS,Power,Hulk,False,1,10,21,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,SS,Power,Cover 4,False,2,10,21,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,SS,Power,Hulk,False,3,2,29,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,SS,Punt,,False,4,2,29,0,False,0,0,50,13,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DD,Streaks,Cover 1 Mike Dog,False,1,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DD,Flood,Cover 2,False,2,10,34,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,DD,Streaks,Cover 2,False,3,4,40,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DD,Punt,,False,4,4,40,0,False,0,0,45,8,False,False,False,False,False,False,False,False,False,,False,,0,False
14,SS,Play Action,Cover 4,False,1,10,23,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
