Home Team:,ASP,11,1-4
Away Team:,TJ5,19,4-1
 
Stadium:,The Ice Castle presented by Yeti,Anchorage AK
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,TJ5,Kickoff,,True,0,0,0,0,False,0,55,0,90,False,False,True,False,False,False,False,False,False,,False,,0,False
2,ASP,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
3,ASP,Kickoff,,True,0,0,0,0,False,0,60,0,28,False,False,False,False,False,False,False,False,False,,False,,0,False
4,TJ5,Blast,Cover 2,False,1,10,33,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,TJ5,Streaks,Cover 3,False,2,6,37,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,TJ5,Screen Pass,Cover 3,False,1,10,58,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,TJ5,Flood,Cover 2,False,1,10,69,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,TJ5,Power,Cover 2,False,2,10,69,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,TJ5,Screen Pass,Cover 2,False,3,4,75,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
10,TJ5,Field Goal,,False,4,10,69,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
11,TJ5,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
12,ASP,Sweep,Cover 0 Bullets,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,ASP,Streaks,Cover 1 Mike Dog,False,2,10,25,30,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,ASP,Play Action,Cover 0 Bullets,False,1,10,55,35,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,ASP,Flood,Cover 3,False,1,10,90,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ASP,Power,Cover 1 Mike Dog,False,2,6,94,0,False,6,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
17,ASP,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
18,ASP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
19,TJ5,Draw,Cover 2,False,1,10,25,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,TJ5,Slants,Cover 3,False,1,10,35,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,TJ5,Slants,Cover 3,False,1,10,47,11,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
22,TJ5,Streaks,Cover 1 Mike Dog,False,1,10,58,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,TJ5,Slants,Cover 2,False,2,10,58,-2,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
24,TJ5,Blast,Cover 2,False,3,12,56,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,False
25,TJ5,Field Goal,,False,4,7,61,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,ASP,Play Action,Cover 2,False,1,10,46,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,ASP,Option,Cover 0 Bullets,False,2,2,54,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,ASP,Option,Cover 1 Mike Dog,False,3,2,54,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,ASP,Punt,,False,4,2,54,0,False,0,0,46,20,False,False,False,False,False,False,False,False,False,,False,,0,False
30,TJ5,Sweep,Cover 2,False,1,10,20,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,TJ5,Streaks,Cover 3,False,1,10,37,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Offsides,5,False
32,TJ5,Power,Cover 3,False,1,10,52,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,TJ5,Flood,Cover 3,False,2,10,52,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
34,TJ5,Streaks,Cover 3,False,2,20,42,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,TJ5,Slants,Cover 3,False,3,20,42,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,TJ5,Punt,,False,4,16,46,0,False,0,0,54,20,False,False,False,False,False,False,False,False,False,,False,,0,False
2,ASP,Flood,Cover 3,False,1,10,20,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
3,ASP,Play Action,Cover 3,False,1,15,15,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,ASP,Draw,Cover 3,False,1,10,33,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,ASP,Power,Cover 0 Bullets,False,2,10,33,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
6,ASP,Flood,Cover 0 Bullets,False,2,15,28,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
7,ASP,Flood,Cover 0 Bullets,False,1,10,33,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,ASP,Flood,Cover 2,False,2,3,40,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
