Home Team:,NYC,13,4-1
Away Team:,FAN,18,4-1
 
Stadium:,Ironforge Arena,New York City NY
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,FAN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NYC,Option,Cover 0 Bullets,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NYC,Flood,Cover 3,False,2,10,25,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
4,NYC,Draw,Cover 3,False,2,20,15,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NYC,Option,Cover 3,False,3,19,16,0,False,-1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NYC,Punt,,False,4,20,15,0,False,0,0,50,0,False,False,False,False,False,True,False,False,False,,False,,0,False
7,FAN,Option,Cover 1 Mike Dog,False,1,10,35,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,FAN,Option,Cover 1 Mike Dog,False,2,10,35,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,FAN,Option,Cover 0 Bullets,False,3,16,29,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,FAN,Punt,,False,4,16,29,0,False,0,0,45,19,False,False,False,False,False,False,False,False,False,,False,,0,False
11,NYC,Blast,Cover 2,False,1,10,45,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NYC,Scissors,Cover 3,False,2,8,47,9,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
13,NYC,Blast,Cover 0 Bullets,False,1,10,56,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NYC,Streaks,Cover 0 Bullets,False,2,6,60,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
