Home Team:,PP,3
Away Team:,NYC,19
 
Stadium:,Blood Clot Arena,Philadelphia PA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,NYC,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,PP,Draw,Cover 1 Mike Dog,False,1,10,25,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,PP,Power,Cover 1 Mike Dog,False,2,1,34,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,PP,Blast,Cover 1 Mike Dog,False,1,10,38,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,PP,Draw,Cover 2,False,2,6,42,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,PP,Power,Cover 0 Bullets,False,3,9,39,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,PP,Punt,,False,4,7,41,0,False,0,0,59,20,False,False,False,False,False,False,False,False,False,,False,,0,False
8,NYC,Blast,Cover 1 Mike Dog,False,1,10,20,0,False,4,0,0,0,False,False,False,False,False,False,False,False,True,,False,,0,False
9,NYC,Option,Cover 3,False,2,6,24,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,NYC,Streaks,Cover 3,False,3,6,24,26,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,NYC,Blast,Cover 3,False,1,10,50,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NYC,Sweep,Cover 3,False,2,5,55,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,True
13,NYC,Slants,Cover 3,False,1,10,70,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
14,NYC,Draw,Cover 3,False,2,16,64,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,NYC,Play Action,Cover 3,False,3,14,66,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NYC,Field Goal,,False,4,4,76,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
17,NYC,Kickoff,,True,0,0,0,0,False,0,60,0,10,False,False,False,False,False,False,False,False,False,,False,,0,False
18,PP,Slants,Cover 2,False,1,10,15,6,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
19,PP,Draw,Cover 0 Bullets,False,2,4,21,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,PP,Power,Cover 1 Mike Dog,False,3,4,21,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,PP,Flood,Cover 1 Mike Dog,False,1,10,29,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,PP,Slants,Cover 0 Bullets,False,2,3,36,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Roughing the Passer,15,True
