Home Team:,CLR,16,1-8,Clearwater,Flints
Away Team:,FDS,34,5-4,San Diego,Fuck Dean Spanoses
 
Stadium:,Clearwater Beach Park,Clearwater FL
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,CLR,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FDS,Slants,Cover 1 Mike Dog,False,1,10,25,-3,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
3,FDS,Power,Cover 2,False,2,13,22,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,FDS,Flood,Cover 3,False,3,7,28,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,True
5,FDS,Slants,Cover 0 Bullets,False,1,10,14,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FDS,Slants,Cover 2,False,2,3,21,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Pass Interference,-10,True
7,FDS,Blast,Cover 2,False,3,13,11,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,FDS,Punt,,False,4,9,15,0,False,0,0,65,17,False,False,False,False,False,False,False,False,False,,False,,0,False
9,CLR,Power,Cover 1 Mike Dog,False,1,10,37,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,CLR,Flood,Cover 1 Mike Dog,False,2,4,43,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,CLR,Sweep,Cover 3,False,3,4,43,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,CLR,Scissors,Cover 3,False,1,10,54,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
