Home Team:,MTL,30,3-6,Montreal,Ouis
Away Team:,KON,12,5-4,Kelowna,Keions
 
Stadium:,The Canadian Lourve,Montreal QU
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MTL,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,KON,Slants,Cover 1 Mike Dog,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,KON,Sweep,Cover 1 Mike Dog,False,2,10,25,0,False,-3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,KON,Sweep,Cover 0 Bullets,False,3,13,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,KON,Punt,,False,4,13,22,0,False,0,0,55,0,False,False,False,False,False,True,True,False,False,,False,,0,False
6,MTL,Slants,Cover 2,False,1,10,77,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
7,MTL,Blast,Cover 3,False,2,1,86,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MTL,Blast,Cover 3,False,1,10,90,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MTL,Sweep,Cover 1 Mike Dog,False,2,5,95,0,False,5,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
10,MTL,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
11,MTL,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
12,KON,Power,Cover 1 Mike Dog,False,1,10,25,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,KON,Draw,Cover 3,False,1,10,39,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,KON,Draw,Cover 1 Mike Dog,False,2,16,33,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,KON,Sweep,Cover 1 Mike Dog,False,3,10,39,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,KON,Slants,Cover 1 Mike Dog,False,1,10,49,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,KON,Sweep,Cover 3,False,2,10,49,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,KON,Power,Cover 3,False,3,5,54,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Offsides,5,True
