Home Team:,BGP,25,6-3,Baltimore,Ground Pigeons
Away Team:,PHX,3,2-7,Phoenix,Mall Cops
 
Stadium:,The Bird Cage,Baltimore MD
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BGP,Kickoff,,True,0,0,0,0,False,0,60,0,21,False,False,False,False,False,False,False,False,False,,False,,0,False
2,PHX,Blast,Cover 3,False,1,10,26,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,PHX,Draw,Cover 0 Bullets,False,2,8,28,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,PHX,Blast,Cover 2,False,3,5,31,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,PHX,Punt,,False,4,5,31,0,False,0,0,40,9,False,False,False,False,False,False,False,False,False,,False,,0,False
6,BGP,Blast,Cover 0 Bullets,False,1,10,38,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,BGP,Option,Cover 0 Bullets,False,2,1,47,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,BGP,Play Action,Cover 1 Mike Dog,False,1,10,57,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,BGP,Play Action,Cover 3,False,1,10,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BGP,Screen Pass,Cover 2,False,2,10,74,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,BGP,Sweep,Cover 4,False,3,10,74,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,BGP,Scissors,Cover 2,False,1,10,84,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,BGP,Blast,Cover 0 Bullets,False,2,10,84,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BGP,Option,Hulk,False,1,10,94,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BGP,Sweep,Cover 2,False,2,10,94,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
16,BGP,Sweep,Cover 2,False,2,15,89,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,BGP,Blast,Cover 3,False,3,7,97,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,BGP,Field Goal,,False,4,6,98,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,BGP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
20,PHX,Power,Cover 0 Bullets,False,1,10,25,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,PHX,Power,Cover 3,False,1,10,35,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,PHX,Slants,Cover 3,False,2,3,42,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,PHX,Draw,Cover 2,False,1,10,47,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Illegal Use of Hands,5,True
24,PHX,Scissors,Cover 2,False,1,10,52,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,PHX,Sweep,Cover 2,False,2,10,52,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
