Home Team:,MCS,38,8-1,Miami,Coke Snorters
Away Team:,SLC,19,4-5,Salt Lake City,Seagulls
 
Stadium:,Drug Den,Miami FL
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MCS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,SLC,Power,Cover 0 Bullets,False,1,10,25,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,SLC,Sweep,Cover 0 Bullets,False,2,6,29,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,SLC,Slants,Cover 2,False,3,6,29,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
5,SLC,Punt,,False,4,12,23,0,False,0,0,55,4,False,False,False,False,False,False,False,False,False,,False,,0,False
6,MCS,Flood,Cover 0 Bullets,False,1,10,26,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
7,MCS,Flood,Cover 1 Mike Dog,False,2,16,20,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MCS,Sweep,Hulk,False,3,5,31,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,MCS,Play Action,Cover 0 Bullets,False,1,10,45,52,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MCS,Scissors,Hulk,False,1,10,97,3,False,0,0,0,0,False,False,True,False,False,False,False,True,False,,False,,0,False
11,MCS,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
12,MCS,Kickoff,,True,0,0,0,0,False,0,60,0,10,False,False,False,False,False,False,False,False,False,,False,,0,False
13,SLC,Flood,Cover 0 Bullets,False,1,10,15,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
14,SLC,Screen Pass,Cover 0 Bullets,False,2,14,11,25,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,SLC,Power,Cover 3,False,1,10,36,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,SLC,Power,Cover 3,False,1,10,46,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,SLC,Flood,Cover 3,False,2,10,46,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
