Home Team:,HTX,31,6-3,Houston,Candy Paint Slabs
Away Team:,DOG,24,8-1,Chicago,Dogs
 
Stadium:,The Swisha House,Houston TX
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,HTX,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,DOG,Scissors,Cover 2,False,1,10,25,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,DOG,Play Action,Cover 3,False,2,3,32,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,DOG,Blast,Cover 1 Mike Dog,False,1,10,48,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,DOG,Draw,Cover 3,False,2,8,50,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,DOG,Scissors,Cover 3,False,3,4,54,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Offsides,5,True
7,DOG,Slants,Cover 0 Bullets,False,1,10,59,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,DOG,Screen Pass,Cover 0 Bullets,False,2,10,59,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DOG,Blast,Cover 1 Mike Dog,False,1,10,75,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DOG,Streaks,Cover 3,False,2,10,75,24,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,DOG,Flood,Cover 3,False,1,10,99,1,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
12,DOG,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
13,DOG,Kickoff,,True,0,0,0,0,False,0,45,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
14,HTX,Flood,Cover 3,False,1,10,36,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,HTX,Power,Cover 1 Mike Dog,False,1,10,52,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
16,HTX,Scissors,Cover 2,False,1,10,63,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,HTX,Scissors,Cover 1 Mike Dog,False,1,10,73,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,HTX,Draw,Cover 2,False,1,10,94,0,False,6,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
19,HTX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
20,HTX,Kickoff,,True,0,0,0,0,False,0,50,0,21,False,False,False,False,False,False,False,False,False,,False,,0,False
21,DOG,Scissors,Cover 3,False,1,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DOG,Streaks,Cover 2,False,2,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DOG,Power,Cover 2,False,3,10,36,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DOG,Punt,,False,4,6,40,0,False,0,0,55,8,False,False,False,False,False,False,False,False,False,,False,,0,False
25,HTX,Slants,Cover 1 Mike Dog,False,1,10,13,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,HTX,Play Action,Cover 2,False,2,10,13,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,HTX,Scissors,Cover 2,False,3,3,20,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
28,HTX,Punt,,False,4,3,20,0,False,0,0,50,6,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DOG,Flood,Cover 0 Bullets,False,1,10,36,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,DOG,Sweep,Cover 3,False,2,3,43,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,DOG,Draw,Cover 3,False,1,10,59,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,DOG,Screen Pass,Cover 2,False,2,9,60,22,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,DOG,Scissors,Cover 3,False,1,10,82,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
34,DOG,Streaks,Cover 2,False,2,14,78,22,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
35,DOG,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,DOG,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,HTX,Flood,Cover 2,False,1,10,25,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,HTX,Power,Cover 0 Bullets,False,1,10,48,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
4,HTX,Streaks,Cover 0 Bullets,False,2,3,55,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
5,HTX,Draw,Cover 0 Bullets,False,3,4,54,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,HTX,Punt,,False,4,1,57,0,False,0,0,43,20,False,False,False,False,False,False,False,False,False,,False,,0,False
