Home Team:,CND,20,5-4,Cleveland,Not Detroits
Away Team:,HNK,17,4-5,Ontario,Grey Geese
 
Stadium:,Depression Arena,Cleveland OH
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,CND,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,HNK,Blast,Cover 1 Mike Dog,False,1,10,25,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,HNK,Slants,Cover 2,False,2,9,26,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,HNK,Flood,Cover 2,False,1,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,HNK,Slants,Cover 1 Mike Dog,False,2,10,37,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,HNK,Blast,Cover 3,False,3,2,45,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,HNK,Slants,Cover 2,False,1,10,48,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,HNK,Slants,Cover 1 Mike Dog,False,2,10,48,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,HNK,Slants,Cover 3,False,3,7,51,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,HNK,Power,Cover 0 Bullets,False,1,10,58,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,HNK,Max Protect,Cover 2,False,2,4,64,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
12,HNK,Max Protect,Cover 1 Mike Dog,False,2,9,59,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,HNK,Max Protect,Cover 1 Mike Dog,False,1,10,69,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,HNK,Slants,Cover 2,False,2,10,69,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,HNK,Blast,Cover 1 Mike Dog,False,1,10,87,0,False,-1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,HNK,Flood,Cover 3,False,2,11,86,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,HNK,Draw,Cover 2,False,3,1,96,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Encroachment,5,True
18,HNK,Power,Cover 2,False,3,3,98,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,HNK,Field Goal,,False,4,3,98,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
20,HNK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
21,CND,Flood,Cover 4,False,1,10,25,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,CND,Sweep,Cover 3,False,1,10,38,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,CND,Power,Cover 1 Mike Dog,False,2,10,38,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,CND,Play Action,Cover 1 Mike Dog,False,1,10,50,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Unnecessary Roughness,15,True
25,CND,Flood,Cover 1 Mike Dog,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
26,CND,Draw,Cover 4,False,2,10,65,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,CND,Scissors,Cover 1 Mike Dog,False,1,10,79,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,CND,Play Action,Cover 2,False,2,10,79,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,CND,Flood,Cover 2,False,3,10,79,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,CND,Field Goal,,False,4,5,84,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
31,CND,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
32,HNK,Streaks,Cover 1 Mike Dog,False,1,10,25,1,True,0,0,0,0,False,False,False,False,True,False,True,True,False,,False,,0,False
33,CND,Power,Cover 4,False,1,10,74,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,CND,Screen Pass,Cover 1 Mike Dog,False,2,6,78,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,CND,Play Action,Cover 4,False,3,6,78,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
