Home Team:,TJ5,25,4-5,Jackson,Five
Away Team:,MIN,14,2-7,Minnesota,Snowbos
 
Stadium:,The Neverland Ranch,Jackson MS
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,TJ5,Slants,Cover 1 Mike Dog,False,1,10,25,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,TJ5,Slants,Cover 0 Bullets,False,2,6,29,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,TJ5,Sweep,Cover 1 Mike Dog,False,1,10,50,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,TJ5,Blast,Cover 1 Mike Dog,False,2,10,50,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
6,TJ5,Flood,Cover 1 Mike Dog,False,2,-15,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,TJ5,Scissors,Cover 0 Bullets,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,TJ5,Power,Cover 0 Bullets,False,2,10,25,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,TJ5,Flood,Cover 1 Mike Dog,False,3,5,30,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,TJ5,Punt,,False,4,5,30,0,False,0,0,65,8,False,False,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Option,Cover 2,False,1,10,13,0,False,29,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,MIN,Draw,Cover 1 Mike Dog,False,1,10,42,0,False,15,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
13,MIN,Blast,Cover 0 Bullets,False,1,10,57,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,MIN,Draw,Cover 1 Mike Dog,False,2,6,61,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Face Mask,15,False
15,MIN,Play Action,Cover 1 Mike Dog,False,1,10,80,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
16,MIN,Sweep,Cover 1 Mike Dog,False,1,15,75,0,False,12,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,MIN,Blast,Cover 3,False,2,3,87,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,MIN,Option,Cover 2,False,1,10,92,0,False,8,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
19,MIN,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
20,MIN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
21,TJ5,Flood,Cover 3,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,TJ5,Sweep,Cover 0 Bullets,False,2,10,25,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,TJ5,Sweep,Cover 3,False,1,10,35,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,TJ5,Blast,Cover 3,False,2,4,41,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,TJ5,Sweep,Cover 1 Mike Dog,False,3,3,42,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
26,TJ5,Slants,Cover 1 Mike Dog,False,3,13,32,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
27,TJ5,Punt,,False,4,2,43,0,False,0,0,50,11,False,False,False,False,False,False,False,False,False,,False,,0,False
28,MIN,Draw,Cover 2,False,1,10,18,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,MIN,Draw,Cover 2,False,1,10,32,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,MIN,Play Action,Cover 1 Mike Dog,False,2,1,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,MIN,Play Action,Cover 2,False,3,1,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Pass Interference,-10,False
32,MIN,Punt,,False,4,1,41,0,False,0,0,59,20,False,False,False,False,False,False,False,False,False,,False,,0,False
33,TJ5,Blast,Cover 3,False,1,10,20,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,TJ5,Scissors,Cover 0 Bullets,False,2,7,23,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,TJ5,Screen Pass,Cover 1 Mike Dog,False,1,10,36,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,TJ5,Flood,Cover 0 Bullets,False,2,1,45,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,TJ5,Flood,Cover 0 Bullets,False,1,10,64,-4,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
3,TJ5,Play Action,Hulk,False,2,14,60,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,TJ5,Blast,Cover 1 Mike Dog,False,3,2,72,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,False
5,TJ5,Field Goal,,False,4,8,66,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
6,TJ5,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
7,MIN,Power,Cover 1 Mike Dog,False,1,10,25,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,MIN,Draw,Cover 1 Mike Dog,False,1,10,41,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
9,MIN,Slants,Cover 0 Bullets,False,2,25,26,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MIN,Blast,Cover 0 Bullets,False,3,13,38,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,False
11,MIN,Punt,,False,4,13,38,0,False,0,0,60,7,False,False,False,False,False,False,False,False,False,,False,,0,False
12,TJ5,Flood,Hulk,False,1,10,9,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,TJ5,Blast,Cover 0 Bullets,False,1,10,20,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,TJ5,Slants,Cover 1 Mike Dog,False,2,5,25,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,TJ5,Scissors,Cover 1 Mike Dog,False,1,10,32,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,TJ5,Slants,Cover 0 Bullets,False,1,10,53,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,TJ5,Power,Cover 4,False,2,7,56,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,TJ5,Flood,Cover 1 Mike Dog,False,1,10,63,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,TJ5,Blast,Cover 0 Bullets,False,2,10,63,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,TJ5,Streaks,Cover 0 Bullets,False,3,2,71,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,TJ5,Field Goal,,False,4,2,71,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
22,TJ5,Kickoff,,True,0,0,0,0,False,0,55,0,12,False,False,False,False,False,False,False,False,False,,False,,0,False
23,MIN,Sweep,Cover 0 Bullets,False,1,10,22,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,MIN,Blast,Cover 3,False,1,10,35,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
25,MIN,Sweep,Cover 2,False,1,20,25,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,MIN,Blast,Cover 2,False,2,9,36,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,MIN,Slants,Cover 2,False,3,4,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,MIN,Punt,,False,4,4,41,0,False,0,0,55,5,False,False,False,False,False,False,False,False,False,,False,,0,False
29,TJ5,Power,Cover 3,False,1,10,9,0,False,-5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,TJ5,Flood,Cover 1 Mike Dog,False,2,15,4,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,TJ5,Blast,Cover 3,False,3,6,13,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,TJ5,Punt,,False,4,4,15,0,False,0,0,50,10,False,False,False,False,False,False,False,False,False,,False,,0,False
33,MIN,Slants,Cover 0 Bullets,False,1,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,MIN,Draw,Cover 1 Mike Dog,False,2,10,45,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,MIN,Play Action,Cover 1 Mike Dog,False,1,10,56,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,TJ5,Kickoff,,True,0,0,0,0,False,0,55,0,12,False,False,False,False,False,False,False,False,False,,False,,0,False
2,MIN,Sweep,Cover 2,False,1,10,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,MIN,Blast,Cover 1 Mike Dog,False,2,10,22,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
4,MIN,Sweep,Cover 2,False,3,25,7,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,MIN,Punt,,False,4,25,7,0,False,0,0,55,11,False,False,False,False,False,False,False,False,False,,False,,0,False
6,TJ5,Streaks,Cover 0 Bullets,False,1,10,49,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,TJ5,Streaks,Cover 3,False,2,10,49,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,TJ5,Screen Pass,Cover 1 Mike Dog,False,1,10,72,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,TJ5,Scissors,Cover 1 Mike Dog,False,1,10,89,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
