Home Team:,LV,32,4-5,Las Vegas,Sexy Strippers
Away Team:,NWK,27,5-4,New Jersey,Rollers
 
Stadium:,Sapphire Strip Club,Las Vegas NV
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,NWK,Kickoff,,True,0,0,0,0,False,0,60,0,26,False,False,False,False,False,False,False,False,False,,False,,0,False
2,LV,Power,Cover 0 Bullets,False,1,10,31,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,LV,Sweep,Cover 2,False,2,4,37,0,False,19,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,LV,Sweep,Cover 0 Bullets,False,1,10,56,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,LV,Blast,Cover 3,False,1,10,66,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,LV,Option,Cover 1 Mike Dog,False,2,9,67,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Offsides,5,False
7,LV,Power,Cover 3,False,3,3,73,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,LV,Field Goal,,False,4,3,73,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
9,LV,Kickoff,,True,0,0,0,0,False,0,60,0,66,False,False,False,False,False,False,False,False,False,,False,,0,False
10,NWK,Option,Cover 4,False,1,10,71,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,NWK,Power,Hulk,False,2,3,78,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NWK,Slants,Cover 1 Mike Dog,False,3,3,78,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,NWK,Field Goal,,False,4,3,78,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
14,NWK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
15,LV,Blast,Cover 2,False,1,10,25,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,LV,Sweep,Cover 0 Bullets,False,2,8,27,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,LV,Option,Cover 0 Bullets,False,3,2,33,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,LV,Sweep,Cover 0 Bullets,False,1,10,46,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,LV,Power,Cover 0 Bullets,False,2,1,55,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,LV,Blast,Cover 0 Bullets,False,1,10,61,0,False,-4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,LV,Sweep,Cover 2,False,2,14,57,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,LV,Sweep,Cover 3,False,1,10,74,0,False,14,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
23,LV,Sweep,Cover 0 Bullets,False,1,10,88,0,False,12,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
24,LV,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,LV,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
26,NWK,Draw,Cover 1 Mike Dog,False,1,10,25,0,False,-6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,NWK,Draw,Cover 3,False,2,16,19,0,False,4,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
28,NWK,Play Action,Cover 1 Mike Dog,False,3,12,23,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NWK,Punt,,False,4,1,34,0,False,0,0,65,19,False,False,False,False,False,False,False,False,False,,False,,0,False
