Home Team:,ATL,51,7-2,Atlanta,Assassins
Away Team:,SS,10,5-4,Seattle,Steelheads
 
Stadium:,Rolls-Royce Stadium,Atlanta GA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,ATL,Kickoff,,True,0,0,0,0,False,0,55,0,15,False,False,False,False,False,False,False,False,False,,False,,0,False
2,SS,Max Protect,Cover 3,False,1,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,SS,Screen Pass,Cover 1 Mike Dog,False,2,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,SS,Screen Pass,Cover 1 Mike Dog,False,3,10,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,SS,Punt,,False,4,10,25,0,False,0,0,55,23,False,False,False,False,False,False,False,False,False,,False,,0,False
6,ATL,Scissors,Hulk,False,1,10,43,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,ATL,Play Action,Hulk,False,1,10,60,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,ATL,Slants,Cover 0 Bullets,False,1,10,74,-5,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
9,ATL,Flood,Cover 0 Bullets,False,2,15,69,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,ATL,Sweep,Hulk,False,3,15,69,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,ATL,Field Goal,,False,4,15,69,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,SS,Draw,Cover 1 Mike Dog,False,1,10,38,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,SS,Draw,Cover 3,False,1,10,48,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,SS,Screen Pass,Cover 2,False,2,3,55,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,SS,Blast,Cover 1 Mike Dog,False,1,10,71,0,False,-2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,SS,Draw,Cover 1 Mike Dog,False,2,12,69,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,SS,Draw,Cover 1 Mike Dog,False,3,12,69,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,SS,Scissors,Cover 2,False,1,10,84,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,SS,Flood,Cover 1 Mike Dog,False,2,10,84,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
20,SS,Draw,Cover 1 Mike Dog,False,3,16,78,0,False,13,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,SS,Field Goal,,False,4,3,91,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
22,SS,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
