Home Team:,NM,6,1-8,New Mexico,Abuelas
Away Team:,BTP,23,1-8,Boston,Tea Party
 
Stadium:,La Casa de la Abuela,Las Vegas NM
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,BTP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NM,Draw,Cover 1 Mike Dog,False,1,10,25,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NM,Draw,Cover 0 Bullets,False,1,10,40,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NM,Power,Cover 4,False,2,7,43,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NM,Draw,Hulk,False,1,10,51,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NM,Blast,Cover 1 Mike Dog,False,2,10,51,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
7,NM,Sweep,Hulk,False,3,10,51,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,NM,Punt,,False,4,4,57,0,False,0,0,43,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,BTP,Slants,Cover 2,False,1,10,20,5,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BTP,Flood,Cover 0 Bullets,False,2,5,25,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,BTP,Blast,Cover 0 Bullets,False,3,5,25,0,False,-5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,True
12,BTP,Power,Cover 2,False,1,10,30,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,BTP,Blast,Cover 3,False,2,1,39,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,BTP,Power,Cover 1 Mike Dog,False,1,10,50,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,BTP,Play Action,Cover 0 Bullets,False,2,10,50,42,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,BTP,Slants,Cover 1 Mike Dog,False,1,10,92,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,BTP,Flood,Cover 1 Mike Dog,False,2,10,92,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,BTP,Streaks,Cover 2,False,3,10,92,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,BTP,Field Goal,,False,4,10,92,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
20,BTP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NM,Slants,Cover 1 Mike Dog,False,1,10,25,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,NM,Scissors,Cover 0 Bullets,False,2,4,31,18,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,NM,Power,Cover 2,False,1,10,49,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,NM,Blast,Cover 1 Mike Dog,False,2,3,56,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,NM,Draw,Cover 0 Bullets,False,1,10,66,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,NM,Power,Cover 3,False,2,8,68,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,NM,Blast,Hulk,False,3,3,73,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,NM,Field Goal,,False,4,2,74,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
29,NM,Kickoff,,True,0,0,0,0,False,0,60,0,12,False,False,False,False,False,False,False,False,False,,False,,0,False
30,BTP,Power,Cover 2,False,1,10,17,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,BTP,Sweep,Cover 0 Bullets,False,2,5,22,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,BTP,Slants,Cover 2,False,3,5,22,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,BTP,Punt,,False,4,5,22,0,False,0,0,60,17,False,False,False,False,False,False,False,False,False,,False,,0,False
34,NM,Blast,Hulk,False,1,10,35,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
35,NM,Sweep,Cover 3,False,2,5,40,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,NM,Max Protect,Cover 4,False,3,5,40,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NM,Punt,,False,4,5,40,0,False,0,0,60,20,False,False,False,False,False,False,False,False,False,,False,,0,False
3,BTP,Blast,Cover 1 Mike Dog,False,1,10,20,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,BTP,Slants,Cover 3,False,2,9,21,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
5,BTP,Flood,Cover 0 Bullets,False,2,19,11,29,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,BTP,Blast,Cover 2,False,1,10,40,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,BTP,Blast,Cover 1 Mike Dog,False,2,8,42,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,BTP,Blast,Cover 1 Mike Dog,False,3,4,46,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,BTP,Punt,,False,4,4,46,0,False,0,0,54,20,False,False,False,False,False,False,False,False,False,,False,,0,False
10,NM,Draw,Cover 0 Bullets,False,1,10,20,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,NM,Power,Cover 1 Mike Dog,False,2,6,24,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,NM,Blast,Cover 0 Bullets,False,3,2,28,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,NM,Scissors,Hulk,False,1,10,37,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,NM,Flood,Cover 2,False,1,10,57,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,NM,Blast,Cover 1 Mike Dog,False,1,10,70,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,NM,Power,Cover 4,False,2,10,70,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,NM,Blast,Cover 2,False,3,5,75,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,NM,Field Goal,,False,4,3,77,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,NM,Kickoff,,True,0,0,0,0,False,0,50,0,26,False,False,False,False,False,False,False,False,False,,False,,0,False
20,BTP,Slants,Cover 2,False,1,10,41,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,BTP,Blast,Cover 1 Mike Dog,False,1,10,55,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,BTP,Power,Cover 0 Bullets,False,2,7,58,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,BTP,Slants,Cover 2,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,BTP,Power,Cover 1 Mike Dog,False,2,10,65,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
25,BTP,Flood,Cover 3,False,2,20,55,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,BTP,Blast,Cover 2,False,3,10,65,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,BTP,Field Goal,,False,4,7,68,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
28,BTP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
29,NM,Blast,Cover 3,False,1,10,25,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,NM,Sweep,Cover 4,False,2,8,27,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,NM,Flood,Cover 3,False,3,1,34,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,NM,Blast,Cover 3,False,1,10,51,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,NM,Streaks,Hulk,False,2,7,54,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,NM,Scissors,Cover 3,False,3,7,54,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,NM,Sweep,Cover 1 Mike Dog,False,1,10,77,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Halftime:
 
Third Quarter:
1,NM,Kickoff,,True,0,0,0,0,False,0,60,0,11,False,False,False,False,False,False,False,False,False,,False,,0,False
2,BTP,Blast,Cover 1 Mike Dog,False,1,10,16,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,BTP,Sweep,Cover 0 Bullets,False,2,10,16,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
4,BTP,Power,Cover 2,False,3,10,16,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,BTP,Punt,,False,4,3,23,0,False,0,0,50,9,False,False,False,False,False,False,False,False,False,,False,,0,False
6,NM,Power,Cover 3,False,1,10,36,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,NM,Flood,Hulk,False,2,5,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,NM,Power,Cover 0 Bullets,False,3,5,41,0,False,0,0,0,0,False,False,False,False,False,True,False,False,False,,False,,0,False
9,NM,Punt,,False,4,5,41,0,False,0,0,59,20,False,False,False,False,False,False,False,False,False,,False,,0,False
10,BTP,Slants,Cover 2,False,1,10,20,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
11,BTP,Flood,Cover 1 Mike Dog,False,2,25,5,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
