Home Team:,PP,13,9-0,Philadelphia,Phatties
Away Team:,FAN,14,8-1,Dakota,Fannings
 
Stadium:,Born in East LA,Philadelphia PA
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,PP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FAN,Play Action,Cover 1 Mike Dog,False,1,10,25,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,FAN,Streaks,Cover 1 Mike Dog,False,1,10,37,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,FAN,Slants,Cover 3,False,2,10,37,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,FAN,Option,Cover 0 Bullets,False,3,1,46,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FAN,Punt,,False,4,1,46,0,False,0,0,50,11,False,False,False,False,False,False,False,False,False,,False,,0,False
7,PP,Sweep,Cover 0 Bullets,False,1,10,15,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,PP,Blast,Cover 1 Mike Dog,False,1,10,29,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,PP,Sweep,Cover 0 Bullets,False,2,7,32,0,False,11,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Holding,5,False
10,PP,Draw,Cover 0 Bullets,False,1,10,43,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,PP,Draw,Cover 0 Bullets,False,2,7,46,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
12,PP,Slants,Cover 3,False,2,17,36,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,PP,Draw,Cover 1 Mike Dog,False,3,6,47,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,PP,Draw,Cover 0 Bullets,False,1,10,56,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,PP,Option,Cover 0 Bullets,False,2,9,57,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,PP,Flood,Cover 1 Mike Dog,False,1,10,67,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
17,PP,Blast,Cover 1 Mike Dog,False,1,15,62,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Illegal Formation,-5,True
18,PP,Sweep,Cover 0 Bullets,False,1,20,57,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,PP,Sweep,Cover 0 Bullets,False,2,12,65,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,PP,Option,Cover 3,False,3,12,65,0,False,15,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,PP,Flood,Cover 0 Bullets,False,1,10,80,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,PP,Sweep,Cover 1 Mike Dog,False,1,10,92,0,False,-2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,PP,Blast,Cover 3,False,2,12,90,0,False,1,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Delay of Game,-5,True
24,PP,Option,Cover 1 Mike Dog,False,2,17,85,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Holding,-10,True
25,PP,Blast,Cover 0 Bullets,False,2,27,75,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,PP,Sweep,Hulk,False,3,24,78,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,PP,Field Goal,,False,4,15,87,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
28,PP,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
