Home Team:,MIN,31,3-3,Minneapolis,Snowbos
Away Team:,ASP,7,1-5,Anchorage,Snow Pandas
 
Stadium:,Mall of America Parking Lot,Minneapolis MN
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,MIN,Kickoff,,True,0,0,0,0,False,0,50,0,45,False,False,False,False,False,False,False,False,False,,False,,0,False
2,ASP,Option,Cover 2,False,1,10,60,0,False,9,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,ASP,Blast,Cover 3,False,2,1,69,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,ASP,Option,Cover 1 Mike Dog,False,1,10,72,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,ASP,Power,Cover 1 Mike Dog,False,1,10,88,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,ASP,Streaks,Cover 2,False,2,6,92,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,ASP,Play Action,Cover 0 Bullets,False,3,6,92,8,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
8,ASP,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
9,ASP,Kickoff,,True,0,0,0,0,False,0,60,0,14,False,False,False,False,False,False,False,False,False,,False,,0,False
10,MIN,Blast,Cover 2,False,1,10,19,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,MIN,Play Action,Cover 0 Bullets,False,2,7,22,-1,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
12,MIN,Power,Cover 2,False,3,8,21,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,MIN,Punt,,False,4,6,23,0,False,0,0,60,10,False,False,False,False,False,False,False,False,False,,False,,0,False
14,ASP,Power,Cover 4,False,1,10,27,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,ASP,Power,Cover 1 Mike Dog,False,2,3,34,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,ASP,Blast,Cover 4,False,3,3,34,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,ASP,Power,Cover 3,False,1,10,40,0,False,4,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
18,ASP,Play Action,Cover 0 Bullets,False,2,6,44,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
19,ASP,Streaks,Cover 1 Mike Dog,False,3,21,29,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
20,ASP,Punt,,False,4,21,29,0,False,0,0,50,0,False,False,False,False,False,True,True,False,False,,False,,0,False
