Home Team:,DOG,7,3-3,Chicago,Dogs
Away Team:,FDS,17,2-4,San Diego,Fuck Dean Spanoses
 
Stadium:,Portillo's Stadium,Chicago IL
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,DOG,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,FDS,Play Action,Cover 4,False,1,10,25,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,FDS,Screen Pass,Cover 0 Bullets,False,1,10,38,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
4,FDS,Screen Pass,Cover 3,False,2,10,38,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,FDS,Power,Cover 2,False,1,10,53,0,False,4,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,FDS,Option,Cover 3,False,2,6,57,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,FDS,Power,Cover 4,False,3,6,57,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,FDS,Punt,,False,4,4,59,0,False,0,0,41,20,False,False,False,False,False,False,False,False,False,,False,,0,False
9,DOG,Scissors,Cover 2,False,1,10,20,24,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,DOG,Flood,Cover 4,False,1,10,44,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: Unnecessary Roughness,-15,True
11,DOG,Streaks,Cover 1 Mike Dog,False,2,25,29,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
12,DOG,Screen Pass,Cover 4,False,3,25,29,14,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,DOG,Punt,,False,4,11,43,0,False,0,0,50,7,False,False,False,False,False,False,False,False,False,,False,,0,False
14,FDS,Play Action,Cover 3,False,1,10,14,19,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,FDS,Flood,Cover 4,False,1,10,33,12,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,FDS,Screen Pass,Cover 3,False,1,10,45,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,FDS,Slants,Cover 0 Bullets,False,2,10,45,9,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,FDS,Streaks,Cover 2,False,3,1,54,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,FDS,Punt,,False,4,1,54,0,False,0,0,46,20,False,False,False,False,False,False,False,False,False,,False,,0,False
20,DOG,Draw,Cover 1 Mike Dog,False,1,10,20,0,False,14,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,DOG,Streaks,Cover 2,False,1,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,DOG,Play Action,Cover 1 Mike Dog,False,2,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,DOG,Scissors,Cover 1 Mike Dog,False,3,10,34,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,DOG,Punt,,False,4,10,34,0,False,0,0,50,9,False,False,False,False,False,False,False,False,False,,False,,0,False
25,FDS,Sweep,Cover 3,False,1,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
26,FDS,Power,Hulk,False,2,10,25,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
27,FDS,Streaks,Cover 2,False,3,10,25,-6,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
28,FDS,Punt,,False,4,16,19,0,False,0,0,55,15,False,False,False,False,False,False,False,False,False,,False,,0,False
29,DOG,Sweep,Cover 4,False,1,10,41,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,DOG,Blast,Cover 3,False,2,10,41,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,DOG,Play Action,Cover 4,False,3,5,46,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,DOG,Punt,,False,4,5,46,0,False,0,0,54,20,False,False,False,False,False,False,False,False,False,,False,,0,False
33,FDS,Flood,Cover 0 Bullets,False,1,10,20,23,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,FDS,Flood,Cover 1 Mike Dog,False,1,10,43,15,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
