Home Team:,NWK,44,3-3,Newark,Rollers
Away Team:,HTX,38,3-3,Houston,Candy Paint Slabs
 
Stadium:,The Stairwell,Newark NJ
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,HTX,Kickoff,,True,0,0,0,0,False,0,55,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,NWK,Streaks,Cover 2,False,1,10,35,20,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,NWK,Play Action,Cover 3,False,1,10,55,26,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
4,NWK,Play Action,Cover 2,False,1,10,81,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,NWK,Slants,Cover 2,False,2,10,81,4,False,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
6,NWK,Screen Pass,Cover 3,False,3,6,85,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,NWK,Slants,Cover 3,False,1,10,92,8,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
8,NWK,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,NWK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
10,HTX,Draw,Cover 3,False,1,10,25,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,HTX,Screen Pass,Cover 3,False,2,8,27,38,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,HTX,Draw,Cover 3,False,1,10,65,0,False,2,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,HTX,Flood,Cover 2,False,2,8,67,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,HTX,Power,Cover 3,False,1,10,75,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
15,HTX,Draw,Cover 2,False,2,7,78,0,False,16,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,HTX,Slants,Cover 1 Mike Dog,False,1,10,94,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,HTX,Slants,Cover 3,False,2,10,94,6,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
18,HTX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
19,HTX,Kickoff,,True,0,0,0,0,False,0,55,0,16,False,False,False,False,False,False,False,False,False,,False,,0,False
20,NWK,Flood,Cover 1 Mike Dog,False,1,10,26,11,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,NWK,Slants,Cover 3,False,1,10,37,10,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,NWK,Screen Pass,Cover 3,False,1,10,47,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,NWK,Streaks,Cover 2,False,2,2,55,32,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,NWK,Option,Cover 3,False,1,10,87,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
25,NWK,Option,Cover 2,False,2,10,87,0,False,13,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
26,NWK,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
27,NWK,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
28,HTX,Screen Pass,Cover 3,False,1,10,25,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
29,HTX,Slants,Cover 3,False,1,10,38,6,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
30,HTX,Power,Cover 1 Mike Dog,False,2,4,44,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
31,HTX,Slants,Cover 2,False,3,4,44,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
32,HTX,Play Action,Cover 2,False,1,10,52,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
33,HTX,Screen Pass,Cover 3,False,1,10,65,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
34,HTX,Slants,Cover 2,False,2,10,65,4,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
35,HTX,Streaks,Cover 3,False,3,6,69,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
 
Second Quarter:
1,HTX,Power,Cover 3,False,1,10,86,0,False,6,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
