Home Team:,PDX,41,4-2,Portland,Evergreens
Away Team:,CND,18,4-2,Cleveland,Not Detroits
 
Stadium:,Forest by Nike,Portland OR
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,PDX,Kickoff,,True,0,0,0,0,False,0,55,0,90,False,False,True,False,False,False,False,False,False,,False,,0,False
2,CND,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
3,CND,Kickoff,,True,0,0,0,0,False,0,60,0,24,False,False,False,False,False,False,False,False,False,,False,,0,False
4,PDX,Streaks,Cover 1 Mike Dog,False,1,10,29,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Pass Interference,15,True
5,PDX,Max Protect,Cover 3,False,1,10,14,7,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,PDX,Streaks,Cover 2,False,2,3,21,27,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
7,PDX,Option,Cover 0 Bullets,False,1,10,48,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,PDX,Blast,Cover 0 Bullets,False,2,10,48,0,False,3,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
9,PDX,Screen Pass,Cover 0 Bullets,False,3,7,51,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,PDX,Scissors,Cover 0 Bullets,False,1,10,68,32,False,0,0,0,0,False,False,True,False,False,False,False,False,False,,True,Defense: Face Mask,15,False
11,PDX,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
12,PDX,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
13,CND,Power,Cover 0 Bullets,False,1,10,25,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,CND,Flood,Cover 2,False,2,5,30,3,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Offense: False Start,-5,True
15,CND,Sweep,Cover 1 Mike Dog,False,2,10,25,0,False,17,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
16,CND,Power,Cover 1 Mike Dog,False,1,10,42,0,False,7,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
17,CND,Streaks,Cover 2,False,2,3,49,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
18,CND,Option,Cover 1 Mike Dog,False,3,3,49,0,False,8,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
19,CND,Streaks,Cover 1 Mike Dog,False,1,10,57,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
20,CND,Power,Cover 1 Mike Dog,False,2,10,57,0,False,5,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
21,CND,Power,Cover 0 Bullets,False,3,5,62,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
22,CND,Power,Cover 1 Mike Dog,False,1,10,72,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
23,CND,Draw,Cover 2,False,2,10,72,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
24,CND,Option,Cover 0 Bullets,False,1,10,82,0,False,18,0,0,0,False,False,True,False,False,False,False,False,False,,False,,0,False
25,CND,Field Goal,,False,0,0,85,0,False,0,0,0,0,False,True,False,False,False,False,False,False,False,,False,,0,False
26,CND,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
27,PDX,Screen Pass,Cover 0 Bullets,False,1,10,25,16,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
28,PDX,Streaks,Cover 0 Bullets,False,1,10,41,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
