Home Team:,FAN,16,5-1,Fargo,Fannings
Away Team:,BA,10,4-2,San Francisco,Golden Ospreys
 
Stadium:,The Fan Zone,Fargo ND
 
Play:,Ball:,Offense:,Defense:,Kickoff:,Down:,Distance:,LOS:,Passing Yards:,Incomplete:,Rushing Yards:,Kicking Yards:,Punting Yards:,Return Yards:,Sack:,FG:,TD:,Safety:,Interception:,Fumble:,Turnover:,Minor Injury:,Major Injury:,Injured Position:,Penalty:,Penalty Type:,Penalty Yards:,Was Accepted?:
First Quarter:
1,FAN,Kickoff,,True,0,0,0,0,False,0,65,0,25,False,False,False,False,False,False,False,False,False,,False,,0,False
2,BA,Flood,Hulk,False,1,10,25,8,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
3,BA,Streaks,Cover 3,False,2,2,33,21,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,True,Defense: Roughing the Passer,15,False
4,BA,Play Action,Hulk,False,1,10,54,17,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
5,BA,Play Action,Hulk,False,1,10,71,13,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
6,BA,Flood,Hulk,False,1,10,84,0,True,0,0,0,0,False,False,False,False,False,False,False,True,False,,False,,0,False
7,BA,Power,Cover 0 Bullets,False,2,10,84,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
8,BA,Play Action,Cover 0 Bullets,False,3,10,84,-3,False,0,0,0,0,True,False,False,False,False,False,False,False,False,,False,,0,False
9,BA,Field Goal,,False,4,13,81,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
10,FAN,Option,Cover 0 Bullets,False,1,10,26,0,False,10,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
11,FAN,Option,Cover 3,False,1,10,36,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
12,FAN,Play Action,Cover 2,False,2,10,36,0,True,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
13,FAN,Screen Pass,Cover 0 Bullets,False,3,10,36,30,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
14,FAN,Option,Cover 1 Mike Dog,False,1,10,66,0,False,0,0,0,0,False,False,False,False,False,False,False,False,False,,False,,0,False
